trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
109, Hop4, Hop4_mirror, -90, mirror, open, open, 1.460034, -4.651581, -65.85672, 0.696167, 884.9904
110, 53Commons, 53Commons, 90, ss, open, closed, -2.678314, -4.562988, 65.77254, 1.072205, 887.6218
111, PineEntrance, PineEntrance, -90, ss, open, open, 5.490902, -0.04150391, -80.80426, 0.9467773, 889.8075
112, RollinsChapel3, RollinsChapel3_mirror, -90, mirror, open, open, 1.964919, -2.049194, -77.12283, 1.197388, 892.439
113, RaunerBackHall, RaunerBackHall, -90, ss, closed, closed, 1.418195, -5.864166, -66.04691, 0.8353271, 894.4993
114, McLaughlinCluster, McLaughlinCluster_mirror, 90, mirror, open, closed, -3.866302, -0.698761, 68.6133, 1.225159, 896.9636
115, BakerBerry2nd, BakerBerry2nd, -90, ss, closed, closed, 0.2395782, -1.664032, -68.74179, 1.434143, 899.6784
116, PineEntrance, PineEntrance, -90, ss, open, open, 1.043047, 0.5295488, -71.7608, 1.935242, 902.8389
117, neutral, Hop2, 90, neutral, open, open, -2.578094, 1.549629, 66.71741, 1.058044, 905.0942
118, neutral, Maynard, -90, neutral, open, open, 1.049505, -5.014862, -75.26685, 0.9331055, 907.2941
119, MooreLot, MooreLot, -90, ss, closed, closed, -1.521484, -4.391235, -68.25885, 0.8773193, 909.3406
120, Hop2, Hop2_mirror, 90, mirror, open, open, -5.696259, -0.3074036, 65.54292, 0.9884644, 911.4985
121, Umplebys, Umplebys, -90, ss, open, open, 0.938661, -3.06073, -71.76852, 1.225281, 913.935
122, AllenSt, AllenSt, -90, ss, open, open, 0.09139182, -2.008423, -72.23151, 0.9468384, 916.0511
123, PineBackHall, PineBackHall_mirror, -90, mirror, open, closed, 0.7955464, -0.09121704, -69.72964, 1.169495, 918.5848
124, neutral, Zimmerman, -90, neutral, closed, closed, 3.001363, -3.920685, -72.31894, 1.197449, 921.0631
125, BakerBerryCharter, BakerBerryCharter, 90, ss, closed, closed, -3.360535, -0.7781982, 63.43462, 1.016357, 923.1932
