173, PineEntrance, 0, PineEntrance, -90, -90, right, 3, open, open, 0.3375562, 7.03962, -167.7152, 1.05835, 1361.373
174, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, right, 2, open, open, -4.335938, 9.183455, 162.8978, 1.169556, 1365.536
175, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, -2.948944, 5.311385, 15.98203, 0.7381592, 1369.086
176, RaunerFirst, 0, RaunerFirst, -90, -90, right, 3, closed, closed, 0.9605643, 6.487653, -165.2118, 1.489868, 1374.334
177, MooreLot, 180, MooreLot, 90, -90, right, 3, closed, closed, -2.873627, 5.548645, 12.30338, 1.044434, 1378.065
178, Maynard, 0, Maynard, -90, -90, left, 1, open, open, -2.573151, 5.584639, -166.441, 0.7796631, 1381.782
179, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -4.896637, 5.921288, 64.19734, 0.8908691, 1385.722
180, NeutralMooreLot, 0, MooreLot, 90, -90, right, 4, closed, closed, -2.717102, 5.382795, 18.86771, 0.8214111, 1389.313
181, Maynard, 0, Maynard, 90, 90, left, 3, closed, closed, -4.426361, 4.701379, 164.3361, 1.586914, 1393.907
182, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, right, 3, closed, closed, 0.296982, 8.049583, 15.64102, 0.9042969, 1397.374
183, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, right, 3, closed, closed, -1.116333, 6.566365, -74.30991, 0.9604492, 1401.648
184, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, -1.941833, 8.958302, -174.3871, 0.7938232, 1405.309
185, Neutral53Commons, 0, 53Commons, 90, 90, left, 4, open, open, -3.52829, 8.057211, 176.8895, 1.712891, 1410.029
186, NeutralUmplebys, 0, Umplebys, 40, 90, left, 4, closed, closed, -3.387024, 7.504524, 115.9121, 1.030396, 1413.774
187, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, -1.538452, 4.968194, 9.657349, 0.765625, 1417.282
188, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -5.61496, 4.888143, 60.36134, 0.7381592, 1420.902
189, NeutralPineBackHall, 0, PineBackHall, 90, -90, left, 2, open, open, -1.085052, 6.178154, 11.56631, 1.08606, 1424.744
190, NeutralMaynard, 0, Maynard, 90, 90, left, 4, closed, closed, -2.772858, 7.760903, 166.7846, 1.32251, 1429.129
191, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, right, 4, closed, closed, -1.70517, 6.39248, -69.8457, 0.9332275, 1432.721
192, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 0.9243561, 7.483022, -170.6386, 0.7935791, 1436.215
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, -1.813477, 7.930649, -218.8825, 0.6964111, 1439.779
194, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, right, 4, closed, open, 0.2576806, 7.914964, -167.3968, 1.364502, 1443.969
195, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -5.336243, 14.05993, 353.9246, 0.7376709, 1447.213
196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, -1.355469, 10.6804, 169.4932, 1.420044, 1451.278
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -1.825287, 6.690869, 169.0184, 0.612915, 1454.592
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, closed, -3.416687, 8.686264, 166.3071, 0.7104492, 1457.961
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, closed, -2.505829, 7.701304, 173.399, 1.113892, 1461.775
200, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, left, 4, closed, closed, -2.506256, 10.53893, 340.8869, 1.294922, 1467.344
201, NeutralHop4, 0, Hop4, 87, 90, right, 2, closed, closed, -1.645538, 6.805733, 162.8483, 0.7519531, 1470.56
202, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, closed, -0.813385, 2.662794, -160.0301, 0.9468994, 1474.124
203, NeutralMooreLot, 0, MooreLot, 90, -90, left, 2, closed, closed, -1.326965, 4.209112, 15.24219, 0.7659912, 1477.743
204, Hop2, -1, Hop2, -91, -90, right, 3, closed, closed, 1.708015, 3.821236, -162.8018, 1.573242, 1482.003
205, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, open, -2.072784, 7.370945, 11.18445, 0.6685791, 1485.122
206, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, right, 4, closed, closed, -0.7342529, 4.374437, -176.8709, 1.225098, 1489.214
