145, NeutralPineBackHall, 0, PineBackHall, 90, -90, right, 4, open, open, 0.4447074, 4.234422, 28.16843, 1.099976, 1286.598
146, NeutralHop2, 0, Hop2, -91, -90, left, 2, closed, closed, -0.6443787, -2.417908, -147.9217, 0.9746094, 1290.204
147, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -4.840515, 0.9976386, 316.6596, 0.7518311, 1293.573
148, Umplebys, -50, Umplebys, 40, 90, left, 3, closed, closed, -1.743896, 0.5655481, 102.0528, 0.7380371, 1297.834
149, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, left, 3, open, closed, -1.753265, -2.658112, 326.769, 0.9744873, 1301.481
150, Neutral53Commons, 0, 53Commons, -90, -90, left, 2, closed, closed, 4.716945, 0.8115245, -156.9584, 1.072144, 1305.352
151, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 7.50091, 4.68377, -153.0067, 1.016724, 1309.069
152, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 0.2654892, 2.573966, -138.085, 0.7938232, 1312.508
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -3.342896, -0.1127625, -187.2312, 1.030396, 1316.197
154, NeutralMaynard, 0, Maynard, -90, -90, left, 2, open, open, 7.172971, 2.278942, -141.9836, 1.086182, 1320.054
155, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 10.07735, -0.6266785, -239.5643, 1.364502, 1324.133
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 0.2723159, 8.274116, -155.23, 1.935059, 1329.256
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, closed, -2.990723, 4.152338, 322.5137, 0.9885254, 1332.89
158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 3.331895, 4.901577, -135.8708, 1.002441, 1336.482
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -7.720581, -0.6388245, 158.6883, 0.6265869, 1339.851
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, -0.3275757, 0.5961311, -163.4376, 0.9608154, 1343.638
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, closed, 2.337655, 5.038895, -243.705, 0.8354492, 1353.258
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, 0.01394511, 2.661769, 53.91673, 0.8912354, 1356.92
163, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -1.762726, 1.669766, 138.2616, 0.7657471, 1360.331
164, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -4.393066, 5.901515, 330.3074, 0.737915, 1363.547
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 2.698247, 1.173663, -151.3504, 1.002563, 1367.111
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -4.14209, 0.2202424, 144.0505, 0.8493652, 1370.508
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -0.6650085, -1.654785, 57.86419, 0.8493652, 1373.849
168, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, right, 3, open, open, 2.933082, -5.087341, -240.0699, 1.225098, 1377.553
169, 53Commons, 0, 53Commons, -90, -90, right, 3, closed, closed, 2.869031, 2.535394, -164.7717, 1.044067, 1381.298
170, NeutralPineEntrance, 0, PineEntrance, -90, -90, left, 2, open, open, -1.118896, 0.9343052, -170.4142, 0.807373, 1384.542
171, NeutralHop4, 0, Hop4, -93, -90, left, 2, open, open, 2.102426, -0.4747925, -170.3828, 0.8632813, 1388.203
172, PineBackHall, 180, PineBackHall, 90, -90, right, 3, open, closed, 3.22706, 1.851253, 11.69537, 1.030396, 1391.698
173, PineEntrance, 0, PineEntrance, -90, -90, right, 3, open, open, 3.194059, 2.910402, -169.1013, 0.8771973, 1395.081
174, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, right, 2, open, open, -0.6477966, 1.745986, 108.4096, 1.18335, 1398.756
175, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, -0.04446411, -5.076752, 12.00208, 0.8352051, 1402.293
176, RaunerFirst, 0, RaunerFirst, -90, -90, right, 3, closed, closed, 0.1115718, -2.985535, -165.8659, 0.9468994, 1406.177
177, MooreLot, 180, MooreLot, 90, -90, right, 3, closed, closed, -0.7637024, 0.4506465, 13.19714, 0.7658691, 1409.518
178, Maynard, 0, Maynard, -90, -90, left, 1, open, open, -0.3378296, 3.769696, -165.9794, 0.8214111, 1412.915
179, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -1.391113, 1.870716, 57.04203, 0.8491211, 1416.354
180, NeutralMooreLot, 0, MooreLot, 90, -90, right, 4, closed, closed, 3.109619, 0.2717661, 16.06525, 0.9190674, 1419.765
181, Maynard, 0, Maynard, 90, 90, left, 3, closed, closed, -3.442505, -0.46698, 164.3464, 1.085938, 1423.357
182, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, right, 3, closed, closed, 2.319922, 0.4733563, 30.28531, 0.9189453, 1426.768
183, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, right, 3, closed, closed, 4.138714, 0.475401, -70.88718, 0.9328613, 1430.165
184, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 1.865001, 0.1455306, -157.5466, 0.8631592, 1433.966
185, Neutral53Commons, 0, 53Commons, 90, 90, left, 4, open, open, -0.5214539, -0.609375, 160.3881, 1.002563, 1437.447
186, NeutralUmplebys, 0, Umplebys, 40, 90, left, 4, closed, closed, -1.790802, -2.688324, 119.14, 1.127808, 1441.206
187, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 2.009026, 6.523186, 25.27213, 0.7938232, 1444.547
188, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -1.285858, -2.051422, 60.95409, 0.8770752, 1447.958
189, NeutralPineBackHall, 0, PineBackHall, 90, -90, left, 2, open, closed, 5.648755, 1.07725, 57.2753, 1.253052, 1451.8
190, NeutralMaynard, 0, Maynard, 90, 90, left, 4, closed, open, 0.8095812, -0.2483215, 162.4639, 0.8215332, 1455.058
191, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, right, 4, closed, closed, 6.871698, 4.114051, -49.5621, 0.9467773, 1458.483
192, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 8.229732, 2.502114, -147.9714, 0.8631592, 1461.838
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 4.326545, -1.508881, -196.9671, 0.7943115, 1465.334
194, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, right, 4, closed, closed, 5.004357, -4.338379, -156.3057, 1.11377, 1469.05
195, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -4.964661, -2.648071, 336.7139, 0.737915, 1472.364
196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, -4.081726, -2.857239, 152.7574, 0.8493652, 1475.677
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -2.160797, -0.9558411, 129.412, 1.016479, 1479.269
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -4.868011, 1.479169, 133.7015, 0.9189453, 1482.666
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, closed, -2.772736, -2.123352, 144.8856, 1.002441, 1486.23
200, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, left, 4, closed, open, -1.015167, 4.550271, 341.033, 0.9328613, 1489.739
201, NeutralHop4, 0, Hop4, 87, 90, right, 2, closed, closed, 1.847124, 3.643469, 148.9131, 0.8353271, 1493.052
202, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 3.120274, 3.122381, -141.7587, 0.6544189, 1496.171
203, NeutralMooreLot, 0, MooreLot, 90, -90, left, 2, closed, closed, 2.882216, 6.882033, 65.01944, 1.002563, 1499.763
204, Hop2, -1, Hop2, -91, -90, right, 3, closed, closed, 0.3559442, 1.356199, -109.7956, 0.737915, 1502.923
205, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, closed, -1.75415, -0.6430969, 88.20233, 0.8770752, 1506.404
