0, McLaughlinCluster, study, 0, 0, study, 0.2061932, -4.803406, 35.88269, 20211027, 14:42:36.35194, 26.93908
0, McLaughlinCluster, study, 0, 0, study, -0.02703857, -4.895599, 36.85281, 20211027, 14:42:36.36632, 26.95292
0, McLaughlinCluster, study, 0, 0, study, -0.2305908, -4.9758, 37.89791, 20211027, 14:42:36.37997, 26.96685
0, McLaughlinCluster, study, 0, 0, study, -0.2631836, -5.039459, 38.94945, 20211027, 14:42:36.39408, 26.98064
0, McLaughlinCluster, study, 0, 0, study, -0.3272095, -5.059967, 39.99271, 20211027, 14:42:36.40755, 26.99467
0, McLaughlinCluster, study, 0, 0, study, -0.3555603, -5.089203, 41.01893, 20211027, 14:42:36.42166, 27.00858
0, McLaughlinCluster, study, 0, 0, study, -0.3947144, -5.07666, 42.04852, 20211027, 14:42:36.43564, 27.02253
0, McLaughlinCluster, study, 0, 0, study, -0.4570618, -5.011688, 43.08388, 20211027, 14:42:36.44930, 27.03641
0, McLaughlinCluster, study, 0, 0, study, -0.5056763, -4.938202, 44.1035, 20211027, 14:42:36.46340, 27.05035
0, McLaughlinCluster, study, 0, 0, study, -0.5068665, -4.888275, 45.1446, 20211027, 14:42:36.47754, 27.06425
0, McLaughlinCluster, study, 0, 0, study, -0.5506897, -4.810425, 46.21889, 20211027, 14:42:36.49102, 27.07816
0, McLaughlinCluster, study, 0, 0, study, -0.6175232, -4.725983, 47.29699, 20211027, 14:42:36.50553, 27.09209
0, McLaughlinCluster, study, 0, 0, study, -0.6535034, -4.651917, 48.34445, 20211027, 14:42:36.51917, 27.10602
0, McLaughlinCluster, study, 0, 0, study, -0.6522827, -4.597687, 49.40969, 20211027, 14:42:36.53286, 27.11999
0, McLaughlinCluster, study, 0, 0, study, -0.6957092, -4.553589, 50.51202, 20211027, 14:42:36.54733, 27.13395
0, McLaughlinCluster, study, 0, 0, study, -0.7445984, -4.511993, 51.64003, 20211027, 14:42:36.56095, 27.14783
0, McLaughlinCluster, study, 0, 0, study, -0.7810364, -4.517029, 52.8311, 20211027, 14:42:36.57510, 27.1617
0, McLaughlinCluster, study, 0, 0, study, -0.871582, -4.510803, 54.05845, 20211027, 14:42:36.58873, 27.1756
0, McLaughlinCluster, study, 0, 0, study, -0.9114075, -4.493713, 55.28426, 20211027, 14:42:36.60270, 27.18968
0, McLaughlinCluster, study, 0, 0, study, -0.9159851, -4.494202, 56.59914, 20211027, 14:42:36.61665, 27.2035
0, McLaughlinCluster, study, 0, 0, study, -1.030731, -4.479187, 58.01477, 20211027, 14:42:36.63061, 27.21742
0, McLaughlinCluster, study, 0, 0, study, -1.153473, -4.437927, 59.57236, 20211027, 14:42:36.64451, 27.23134
0, McLaughlinCluster, study, 0, 0, study, -1.190948, -4.45639, 61.1246, 20211027, 14:42:36.65875, 27.24516
0, McLaughlinCluster, study, 0, 0, study, -1.161591, -4.488312, 62.60168, 20211027, 14:42:36.67233, 27.25916
0, McLaughlinCluster, study, 0, 0, study, -1.051575, -4.520752, 64.03468, 20211027, 14:42:36.68644, 27.27308
0, McLaughlinCluster, study, 0, 0, study, -1.011261, -4.477814, 65.48186, 20211027, 14:42:36.70017, 27.28701
0, McLaughlinCluster, study, 0, 0, study, -1.058502, -4.419861, 66.91687, 20211027, 14:42:36.71437, 27.30094
0, McLaughlinCluster, study, 0, 0, study, -1.10379, -4.355011, 68.26102, 20211027, 14:42:36.72791, 27.3151
0, McLaughlinCluster, study, 0, 0, study, -1.134125, -4.318115, 69.53632, 20211027, 14:42:36.74194, 27.32883
0, McLaughlinCluster, study, 0, 0, study, -1.204254, -4.279694, 70.73365, 20211027, 14:42:36.75589, 27.34269
0, McLaughlinCluster, study, 0, 0, study, -1.23642, -4.193207, 71.90147, 20211027, 14:42:36.76997, 27.35672
0, McLaughlinCluster, study, 0, 0, study, -1.289978, -4.120117, 73.02774, 20211027, 14:42:36.78388, 27.37062
0, McLaughlinCluster, study, 0, 0, study, -1.324524, -4.112885, 74.09456, 20211027, 14:42:36.79805, 27.38452
0, McLaughlinCluster, study, 0, 0, study, -1.308044, -4.062714, 75.0691, 20211027, 14:42:36.81144, 27.39846
0, McLaughlinCluster, study, 0, 0, study, -1.285217, -4.021088, 75.9986, 20211027, 14:42:36.82565, 27.41228
0, McLaughlinCluster, study, 0, 0, study, -1.272278, -4.006531, 76.8112, 20211027, 14:42:36.83946, 27.42628
0, McLaughlinCluster, study, 0, 0, study, -1.217896, -3.988068, 77.53735, 20211027, 14:42:36.85346, 27.44022
0, McLaughlinCluster, study, 0, 0, study, -1.120697, -4.012085, 78.20878, 20211027, 14:42:36.86785, 27.455
0, McLaughlinCluster, study, 0, 0, study, -1.070496, -4.034668, 78.86288, 20211027, 14:42:36.88121, 27.46809
0, McLaughlinCluster, study, 0, 0, study, -1.022736, -4.072327, 79.45409, 20211027, 14:42:36.89526, 27.48198
0, McLaughlinCluster, study, 0, 0, study, -0.9459534, -4.087219, 79.91389, 20211027, 14:42:36.90880, 27.49581
0, McLaughlinCluster, study, 0, 0, study, -0.8836365, -4.132965, 80.27364, 20211027, 14:42:36.92287, 27.50975
0, McLaughlinCluster, study, 0, 0, study, -0.8695068, -4.178802, 80.58585, 20211027, 14:42:36.93722, 27.52379
0, McLaughlinCluster, study, 0, 0, study, -0.9024658, -4.159668, 80.8437, 20211027, 14:42:36.95073, 27.53764
0, McLaughlinCluster, study, 0, 0, study, -0.9396973, -4.158661, 81.05787, 20211027, 14:42:36.96481, 27.55164
0, McLaughlinCluster, study, 0, 0, study, -0.9222107, -4.114471, 81.16325, 20211027, 14:42:36.97891, 27.56569
0, McLaughlinCluster, study, 0, 0, study, -0.9088745, -4.145813, 81.20539, 20211027, 14:42:36.99236, 27.57938
0, McLaughlinCluster, study, 0, 0, study, -0.9584961, -4.168518, 81.23941, 20211027, 14:42:37.00642, 27.59329
0, McLaughlinCluster, study, 0, 0, study, -0.980072, -4.206299, 81.24152, 20211027, 14:42:37.02051, 27.60726
0, McLaughlinCluster, study, 0, 0, study, -1.048889, -4.199371, 81.17658, 20211027, 14:42:37.03443, 27.6212
0, McLaughlinCluster, study, 0, 0, study, -1.139313, -4.250427, 81.16773, 20211027, 14:42:37.04802, 27.63513
0, McLaughlinCluster, study, 0, 0, study, -1.260651, -4.269806, 81.09737, 20211027, 14:42:37.06220, 27.64907
0, McLaughlinCluster, study, 0, 0, study, -1.292999, -4.269501, 80.99913, 20211027, 14:42:37.07607, 27.66291
0, McLaughlinCluster, study, 0, 0, study, -1.211639, -4.312134, 80.84488, 20211027, 14:42:37.08970, 27.6768
0, McLaughlinCluster, study, 0, 0, study, -1.206329, -4.360229, 80.67736, 20211027, 14:42:37.10401, 27.69081
0, McLaughlinCluster, study, 0, 0, study, -1.217743, -4.443634, 80.50521, 20211027, 14:42:37.11822, 27.70474
0, McLaughlinCluster, study, 0, 0, study, -1.163025, -4.514832, 80.24453, 20211027, 14:42:37.13171, 27.71878
0, McLaughlinCluster, study, 0, 0, study, -1.060333, -4.551178, 79.88618, 20211027, 14:42:37.14582, 27.73256
0, McLaughlinCluster, study, 0, 0, study, -0.9420776, -4.575134, 79.44415, 20211027, 14:42:37.15962, 27.74643
0, McLaughlinCluster, study, 0, 0, study, -0.736145, -4.622498, 78.77676, 20211027, 14:42:37.17387, 27.76039
0, McLaughlinCluster, study, 0, 0, study, -0.4921265, -4.695221, 77.87009, 20211027, 14:42:37.18726, 27.77432
