0, McLaughlinCluster, study, 0, 0, study, -1.684509, 13.65265, 31.08005, 20211019, 13:34:32.65569, 20.84453
0, McLaughlinCluster, study, 0, 0, study, -1.481476, 14.95877, 31.1021, 20211019, 13:34:32.66946, 20.85843
0, McLaughlinCluster, study, 0, 0, study, -1.280975, 16.39347, 31.009, 20211019, 13:34:32.68353, 20.87231
0, McLaughlinCluster, study, 0, 0, study, -0.960022, 18.16092, 30.88684, 20211019, 13:34:32.69748, 20.88621
0, McLaughlinCluster, study, 0, 0, study, -0.7058411, 20.39894, 30.73173, 20211019, 13:34:32.71156, 20.9002
0, McLaughlinCluster, study, 0, 0, study, -0.6896057, 22.52731, 30.59055, 20211019, 13:34:32.72516, 20.9141
0, McLaughlinCluster, study, 0, 0, study, -0.5939941, 23.94978, 30.47742, 20211019, 13:34:32.73929, 20.92801
0, McLaughlinCluster, study, 0, 0, study, -0.4619141, 24.87872, 30.44721, 20211019, 13:34:32.75312, 20.94188
0, McLaughlinCluster, study, 0, 0, study, -0.177002, 25.61994, 30.51871, 20211019, 13:34:32.76676, 20.95582
0, McLaughlinCluster, study, 0, 0, study, 0.2111431, 26.44435, 30.63477, 20211019, 13:34:32.78092, 20.96968
0, McLaughlinCluster, study, 0, 0, study, 0.4949237, 27.64489, 30.67153, 20211019, 13:34:32.79500, 20.98374
0, McLaughlinCluster, study, 0, 0, study, 0.6763952, 28.85576, 30.70148, 20211019, 13:34:32.80865, 20.99763
0, McLaughlinCluster, study, 0, 0, study, 0.8534241, 29.80186, 30.68129, 20211019, 13:34:32.82322, 21.01161
0, McLaughlinCluster, study, 0, 0, study, 1.013328, 30.62836, 30.64187, 20211019, 13:34:32.83684, 21.02552
0, McLaughlinCluster, study, 0, 0, study, 1.267424, 31.36449, 30.53356, 20211019, 13:34:32.85030, 21.03932
0, McLaughlinCluster, study, 0, 0, study, 1.545873, 32.59441, 30.37567, 20211019, 13:34:32.86463, 21.05335
0, McLaughlinCluster, study, 0, 0, study, 1.598534, 33.98022, 30.18784, 20211019, 13:34:32.87841, 21.06718
0, McLaughlinCluster, study, 0, 0, study, 1.576431, 34.84787, 29.92013, 20211019, 13:34:32.89236, 21.08111
0, McLaughlinCluster, study, 0, 0, study, 1.539326, 35.18538, 29.65992, 20211019, 13:34:32.90615, 21.09512
0, McLaughlinCluster, study, 0, 0, study, 1.525253, 35.11238, 29.3997, 20211019, 13:34:32.92052, 21.10902
0, McLaughlinCluster, study, 0, 0, study, 1.551852, 35.05967, 29.13239, 20211019, 13:34:32.93415, 21.12291
0, McLaughlinCluster, study, 0, 0, study, 1.584192, 35.04426, 28.89103, 20211019, 13:34:32.94813, 21.13689
0, McLaughlinCluster, study, 0, 0, study, 1.62316, 35.02281, 28.66792, 20211019, 13:34:32.96233, 21.15077
0, McLaughlinCluster, study, 0, 0, study, 1.709255, 35.14424, 28.45827, 20211019, 13:34:32.97596, 21.16469
0, McLaughlinCluster, study, 0, 0, study, 1.891413, 35.41034, 28.30688, 20211019, 13:34:32.98950, 21.17852
0, McLaughlinCluster, study, 0, 0, study, 2.042055, 35.61191, 28.18327, 20211019, 13:34:33.00390, 21.19257
0, McLaughlinCluster, study, 0, 0, study, 2.190119, 35.7541, 28.10233, 20211019, 13:34:33.01755, 21.20632
0, McLaughlinCluster, study, 0, 0, study, 2.363004, 35.88696, 28.02948, 20211019, 13:34:33.03184, 21.2203
0, McLaughlinCluster, study, 0, 0, study, 2.550818, 36.11537, 27.98403, 20211019, 13:34:33.04540, 21.23438
0, McLaughlinCluster, study, 0, 0, study, 2.793108, 36.41895, 27.98403, 20211019, 13:34:33.05946, 21.24819
0, McLaughlinCluster, study, 0, 0, study, 3.094917, 36.90299, 27.96803, 20211019, 13:34:33.07349, 21.26221
0, McLaughlinCluster, study, 0, 0, study, 3.444651, 37.32328, 27.97238, 20211019, 13:34:33.08700, 21.27603
0, McLaughlinCluster, study, 0, 0, study, 3.809433, 37.50006, 27.92339, 20211019, 13:34:33.10146, 21.28996
0, McLaughlinCluster, study, 0, 0, study, 4.192943, 37.59698, 27.84756, 20211019, 13:34:33.11506, 21.30383
0, McLaughlinCluster, study, 0, 0, study, 4.57807, 37.7356, 27.74704, 20211019, 13:34:33.12914, 21.31785
0, McLaughlinCluster, study, 0, 0, study, 4.916896, 37.9199, 27.62381, 20211019, 13:34:33.14322, 21.33175
0, McLaughlinCluster, study, 0, 0, study, 5.131713, 38.01937, 27.45291, 20211019, 13:34:33.15694, 21.34567
0, McLaughlinCluster, study, 0, 0, study, 5.31849, 37.99081, 27.24721, 20211019, 13:34:33.17103, 21.35974
0, McLaughlinCluster, study, 0, 0, study, 5.52427, 37.9016, 26.98567, 20211019, 13:34:33.18483, 21.37359
0, McLaughlinCluster, study, 0, 0, study, 5.692213, 37.84264, 26.7044, 20211019, 13:34:33.19870, 21.38747
0, McLaughlinCluster, study, 0, 0, study, 5.841299, 37.84843, 26.40799, 20211019, 13:34:33.21259, 21.40138
0, McLaughlinCluster, study, 0, 0, study, 5.969019, 37.82244, 26.12194, 20211019, 13:34:33.22659, 21.41534
0, McLaughlinCluster, study, 0, 0, study, 6.051245, 37.80944, 25.8884, 20211019, 13:34:33.24088, 21.42934
0, McLaughlinCluster, study, 0, 0, study, 6.151554, 37.76133, 25.66715, 20211019, 13:34:33.25438, 21.44314
0, McLaughlinCluster, study, 0, 0, study, 6.286597, 37.77011, 25.49307, 20211019, 13:34:33.26808, 21.45708
0, McLaughlinCluster, study, 0, 0, study, 6.469432, 37.77861, 25.31054, 20211019, 13:34:33.28224, 21.47099
0, McLaughlinCluster, study, 0, 0, study, 6.589648, 37.77826, 25.1234, 20211019, 13:34:33.29625, 21.48496
0, McLaughlinCluster, study, 0, 0, study, 6.666496, 37.64039, 24.89558, 20211019, 13:34:33.30998, 21.49899
0, McLaughlinCluster, study, 0, 0, study, 6.749877, 37.54953, 24.65949, 20211019, 13:34:33.32419, 21.51278
0, McLaughlinCluster, study, 0, 0, study, 6.852405, 37.54168, 24.46465, 20211019, 13:34:33.33843, 21.52696
0, McLaughlinCluster, study, 0, 0, study, 6.982301, 37.49682, 24.29356, 20211019, 13:34:33.35259, 21.54126
0, McLaughlinCluster, study, 0, 0, study, 7.062562, 37.46388, 24.18414, 20211019, 13:34:33.36560, 21.55458
0, McLaughlinCluster, study, 0, 0, study, 7.224412, 37.42262, 24.13709, 20211019, 13:34:33.37977, 21.56848
0, McLaughlinCluster, study, 0, 0, study, 7.361422, 37.34341, 24.11582, 20211019, 13:34:33.39400, 21.58253
0, McLaughlinCluster, study, 0, 0, study, 7.49678, 37.13152, 24.05996, 20211019, 13:34:33.40745, 21.59648
0, McLaughlinCluster, study, 0, 0, study, 7.626482, 36.71269, 23.9727, 20211019, 13:34:33.42171, 21.61036
0, McLaughlinCluster, study, 0, 0, study, 7.723773, 35.99684, 23.78025, 20211019, 13:34:33.43554, 21.62422
0, McLaughlinCluster, study, 0, 0, study, 7.835314, 35.40272, 23.60894, 20211019, 13:34:33.44912, 21.63808
0, McLaughlinCluster, study, 0, 0, study, 7.877381, 34.9671, 23.40537, 20211019, 13:34:33.46339, 21.65202
0, McLaughlinCluster, study, 0, 0, study, 7.90797, 34.50905, 23.20898, 20211019, 13:34:33.47733, 21.666
0, McLaughlinCluster, study, 0, 0, study, 7.861582, 33.72179, 23.00846, 20211019, 13:34:33.49122, 21.6799
0, McLaughlinCluster, study, 0, 0, study, 7.832722, 32.48365, 22.7526, 20211019, 13:34:33.50541, 21.69403
0, McLaughlinCluster, study, 0, 0, study, 7.750281, 31.31437, 22.54109, 20211019, 13:34:33.51900, 21.70771
0, McLaughlinCluster, study, 0, 0, study, 7.671353, 30.10043, 22.32187, 20211019, 13:34:33.53313, 21.7217
0, McLaughlinCluster, study, 0, 0, study, 7.585265, 28.92348, 22.1563, 20211019, 13:34:33.54670, 21.73564
0, McLaughlinCluster, study, 0, 0, study, 7.517483, 27.68288, 21.99471, 20211019, 13:34:33.56100, 21.74959
0, McLaughlinCluster, study, 0, 0, study, 7.384946, 26.39203, 21.79519, 20211019, 13:34:33.57483, 21.76352
0, McLaughlinCluster, study, 0, 0, study, 7.2225, 24.93378, 21.57921, 20211019, 13:34:33.58842, 21.77736
0, McLaughlinCluster, study, 0, 0, study, 7.131715, 23.59628, 21.35036, 20211019, 13:34:33.60287, 21.79123
0, McLaughlinCluster, study, 0, 0, study, 7.051982, 22.48148, 21.13773, 20211019, 13:34:33.61658, 21.80512
0, McLaughlinCluster, study, 0, 0, study, 6.948937, 21.5576, 21.01451, 20211019, 13:34:33.63030, 21.81916
0, McLaughlinCluster, study, 0, 0, study, 6.801722, 20.65207, 20.95495, 20211019, 13:34:33.64468, 21.83303
0, McLaughlinCluster, study, 0, 0, study, 6.574568, 19.59534, 21.02151, 20211019, 13:34:33.65821, 21.84686
0, McLaughlinCluster, study, 0, 0, study, 6.474171, 18.3743, 21.19152, 20211019, 13:34:33.67228, 21.86092
0, McLaughlinCluster, study, 0, 0, study, 6.424523, 17.44613, 21.48524, 20211019, 13:34:33.68587, 21.87484
0, McLaughlinCluster, study, 0, 0, study, 6.312457, 16.81705, 21.85242, 20211019, 13:34:33.70002, 21.88876
0, McLaughlinCluster, study, 0, 0, study, 6.139351, 16.26559, 22.41725, 20211019, 13:34:33.71404, 21.90265
0, McLaughlinCluster, study, 0, 0, study, 5.833734, 15.77841, 23.26971, 20211019, 13:34:33.72773, 21.91664
0, McLaughlinCluster, study, 0, 0, study, 5.748403, 15.27895, 24.48234, 20211019, 13:34:33.74187, 21.93057
0, McLaughlinCluster, study, 0, 0, study, 5.894708, 14.74626, 25.88209, 20211019, 13:34:33.75582, 21.94441
0, McLaughlinCluster, study, 0, 0, study, 6.015543, 14.28029, 27.15214, 20211019, 13:34:33.76940, 21.95831
0, McLaughlinCluster, study, 0, 0, study, 5.987801, 13.93026, 28.23777, 20211019, 13:34:33.78338, 21.97209
0, McLaughlinCluster, study, 0, 0, study, 5.81909, 13.59066, 29.12903, 20211019, 13:34:33.79750, 21.98617
0, McLaughlinCluster, study, 0, 0, study, 5.262915, 13.17603, 30.02842, 20211019, 13:34:33.81143, 22.00007
0, McLaughlinCluster, study, 0, 0, study, 4.878699, 12.83068, 30.99495, 20211019, 13:34:33.82506, 22.01397
0, McLaughlinCluster, study, 0, 0, study, 4.690869, 12.61386, 31.898, 20211019, 13:34:33.83933, 22.02799
0, McLaughlinCluster, study, 0, 0, study, 4.52582, 12.5016, 32.59224, 20211019, 13:34:33.85319, 22.04181
0, McLaughlinCluster, study, 0, 0, study, 4.399971, 12.45648, 33.17895, 20211019, 13:34:33.86681, 22.05578
0, McLaughlinCluster, study, 0, 0, study, 4.226341, 12.39267, 33.6105, 20211019, 13:34:33.88091, 22.06959
0, McLaughlinCluster, study, 0, 0, study, 3.988565, 12.41861, 34.01572, 20211019, 13:34:33.89497, 22.0836
0, McLaughlinCluster, study, 0, 0, study, 3.808318, 12.46084, 34.37699, 20211019, 13:34:33.90863, 22.09753
0, McLaughlinCluster, study, 0, 0, study, 3.639874, 12.39324, 34.65078, 20211019, 13:34:33.92283, 22.11147
0, McLaughlinCluster, study, 0, 0, study, 3.458971, 12.29453, 34.76542, 20211019, 13:34:33.93686, 22.12546
0, McLaughlinCluster, study, 0, 0, study, 3.295257, 12.19557, 34.75477, 20211019, 13:34:33.95020, 22.13915
0, McLaughlinCluster, study, 0, 0, study, 3.17381, 12.12848, 34.82066, 20211019, 13:34:33.96464, 22.15319
0, McLaughlinCluster, study, 0, 0, study, 3.141246, 12.10112, 34.92419, 20211019, 13:34:33.97844, 22.16718
0, McLaughlinCluster, study, 0, 0, study, 3.073673, 12.17368, 35.03222, 20211019, 13:34:33.99241, 22.18106
0, McLaughlinCluster, study, 0, 0, study, 2.841692, 12.06611, 35.32555, 20211019, 13:34:34.00604, 22.19502
0, McLaughlinCluster, study, 0, 0, study, 2.676935, 11.75188, 35.92716, 20211019, 13:34:34.02024, 22.20889
0, McLaughlinCluster, study, 0, 0, study, 2.49435, 11.10513, 36.90307, 20211019, 13:34:34.03424, 22.22293
0, McLaughlinCluster, study, 0, 0, study, 2.304068, 10.73746, 37.95713, 20211019, 13:34:34.04783, 22.23675
0, McLaughlinCluster, study, 0, 0, study, 2.123782, 10.69719, 39.04677, 20211019, 13:34:34.06251, 22.25085
0, McLaughlinCluster, study, 0, 0, study, 1.938968, 10.78904, 40.19688, 20211019, 13:34:34.07600, 22.26474
0, McLaughlinCluster, study, 0, 0, study, 1.881294, 10.73741, 41.37873, 20211019, 13:34:34.08960, 22.27856
0, McLaughlinCluster, study, 0, 0, study, 1.859969, 10.83971, 42.56811, 20211019, 13:34:34.10400, 22.29257
0, McLaughlinCluster, study, 0, 0, study, 1.792882, 10.88547, 43.58805, 20211019, 13:34:34.11754, 22.30624
0, McLaughlinCluster, study, 0, 0, study, 1.642435, 10.80552, 44.37216, 20211019, 13:34:34.13165, 22.32027
0, McLaughlinCluster, study, 0, 0, study, 1.454998, 10.70804, 45.00749, 20211019, 13:34:34.14533, 22.33426
0, McLaughlinCluster, study, 0, 0, study, 1.248479, 10.72457, 45.5178, 20211019, 13:34:34.15948, 22.34815
0, McLaughlinCluster, study, 0, 0, study, 0.9926401, 10.77527, 45.91972, 20211019, 13:34:34.17349, 22.36212
0, McLaughlinCluster, study, 0, 0, study, 0.6829867, 10.89996, 46.14924, 20211019, 13:34:34.18698, 22.37595
0, McLaughlinCluster, study, 0, 0, study, 0.3399389, 11.06233, 46.32438, 20211019, 13:34:34.20125, 22.38988
0, McLaughlinCluster, study, 0, 0, study, 0.1011281, 11.08725, 46.48073, 20211019, 13:34:34.21520, 22.40382
0, McLaughlinCluster, study, 0, 0, study, -0.0614624, 11.00872, 46.61478, 20211019, 13:34:34.22877, 22.41773
0, McLaughlinCluster, study, 0, 0, study, -0.1884766, 11.09951, 46.72434, 20211019, 13:34:34.24297, 22.43165
0, McLaughlinCluster, study, 0, 0, study, -0.2550964, 11.21705, 46.78443, 20211019, 13:34:34.25689, 22.44554
0, McLaughlinCluster, study, 0, 0, study, -0.2740479, 11.35416, 46.85269, 20211019, 13:34:34.27074, 22.45969
0, McLaughlinCluster, study, 0, 0, study, -0.3259888, 11.52509, 46.94024, 20211019, 13:34:34.28482, 22.47356
