100, NeutralHop2, 0, Hop2, -91, -90, right, 4, closed, closed, 5.070179, -3.880524, -160.8305, 0.8770752, 986.8358
101, MooreLot, 180, MooreLot, 270, 90, left, 3, open, open, -6.804138, -1.95929, 336.5777, 0.8076782, 989.9268
102, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 5.8158, 0.2848681, -163.2796, 1.044373, 993.2128
103, PineBackHall, 180, PineBackHall, 270, 90, left, 3, closed, closed, -8.356262, 5.302781, 336.1451, 0.9747925, 996.4987
104, Hop4, -3, Hop4, 87, 90, left, 3, closed, closed, -6.992035, 3.897765, 153.4759, 1.085571, 999.8821
105, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, left, 4, open, open, -7.087006, -2.390259, 245.8732, 0.7799683, 1002.959
106, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, right, 2, open, open, -9.359253, -4.05072, 332.1273, 0.8632202, 1006.106
107, NeutralHop4, 0, Hop4, -93, -90, right, 4, open, open, 3.462737, -4.968384, -161.7768, 1.099976, 1021.873
108, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -4.308441, -3.918396, 153.3391, 0.8634033, 1025.117
109, Neutral53Commons, 0, 53Commons, -90, -90, right, 4, closed, closed, 4.663108, -5.645264, -156.4112, 0.8771973, 1028.25
110, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -4.807648, -2.544708, 332.0216, 0.7797852, 1031.564
111, NeutralUmplebys, 0, Umplebys, -140, -90, left, 2, open, closed, 5.033271, -5.160431, -206.3627, 0.7796631, 1034.502
112, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, left, 3, closed, closed, -5.710907, -1.072418, 67.64494, 0.8354492, 1037.649
113, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -5.50177, -0.148468, 159.6463, 0.8355713, 1040.712
114, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -4.552032, -1.011475, 329.9004, 0.9606934, 1043.97
115, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 6.076596, -5.420288, -162.6592, 0.7657471, 1046.992
116, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -5.349457, -5.196228, 150.8215, 0.7657471, 1049.999
117, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, left, 4, closed, closed, -6.46463, -0.212677, 69.9322, 1.26709, 1053.591
118, NeutralAllenSt, 0, AllenSt, 90, 90, left, 4, closed, open, -3.421722, -0.2406311, 157.0908, 1.099976, 1057.031
119, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 4.032542, -8.808258, -256.8788, 1.225342, 1060.818
120, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -1.531921, 3.026774, 161.6995, 1.100098, 1064.243
121, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, left, 2, closed, closed, 4.035812, -3.641907, -161.8743, 0.7938232, 1067.404
122, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -7.52005, 0.7528925, 154.8606, 0.8355713, 1070.495
123, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 5.82058, -3.372681, -157.8051, 0.8074951, 1073.627
124, AllenSt, 0, AllenSt, 90, 90, left, 3, closed, closed, -6.708801, -6.177032, 151.8136, 0.9329834, 1076.871
125, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -5.901825, 2.516665, 338.5107, 1.155762, 1080.38
126, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -4.710938, -1.901917, 153.0013, 0.7381592, 1083.429
127, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -7.509399, 6.891482, 333.6374, 1.099976, 1086.841
128, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -5.007294, -3.183136, 153.1036, 0.9190674, 1090.029
129, NeutralMaynard, 0, Maynard, -90, -90, right, 4, open, open, 5.129942, -5.204681, -165.0125, 0.8354492, 1093.245
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, 3.612651, -5.365204, 20.6192, 1.085938, 1096.671
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, open, -1.796478, 1.746723, 61.87321, 1.267212, 1100.277
132, NeutralAllenSt, 0, AllenSt, -90, -90, left, 2, open, open, 4.475999, -6.828247, -162.4613, 0.7658691, 1103.563
133, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 4.08852, -0.9134827, 15.06772, 1.22583, 1107.183
134, NeutralHop2, 0, Hop2, 89, 90, left, 4, open, open, -6.281494, -2.879913, 156.0379, 0.7938232, 1110.288
135, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, left, 3, open, open, -5.513062, -2.773285, 245.7126, 0.8494873, 1113.588
136, NeutralZimmerman, 0, Zimmerman, -190, -90, right, 4, closed, closed, 4.199466, -5.390839, -260.5119, 0.7797852, 1116.693
137, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 3.341479, -5.744873, -160.8907, 0.9190674, 1119.937
138, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, left, 2, closed, closed, 3.577272, -4.229309, 21.32059, 0.9190674, 1123.125
139, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -2.678253, -5.027313, 318.7358, 2.39502, 1127.845
140, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -4.468933, -4.254486, 156.6284, 0.9468994, 1131.089
141, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 3.162791, -6.431366, 26.77533, 0.7657471, 1134.25
