96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, 6.472685, 2.972273, -208.6287, 1.406372, 1115.561
96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, 6.472685, 2.972273, -208.6287, 1.406372, 1115.561
97, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, closed, 7.151584, 6.136677, 18.63983, 1.406006, 1119.626
96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, 6.472685, 2.972273, -208.6287, 1.406372, 1115.561
98, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -3.882233, 7.399783, 248.585, 0.9606934, 1123.622
99, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 5.549373, -0.07391357, 14.28604, 0.9328613, 1127.242
100, NeutralHop2, 0, Hop2, -91, -90, right, 4, closed, closed, 7.637302, 3.362078, -160.9575, 1.08606, 1130.848
101, MooreLot, 180, MooreLot, 270, 90, left, 3, open, open, -6.846466, 10.01118, 343.6688, 1.155518, 1134.592
102, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 6.395466, 7.175698, -164.6821, 1.239258, 1138.338
103, PineBackHall, 180, PineBackHall, 270, 90, left, 3, closed, open, -8.578339, 11.65096, 343.7835, 1.225342, 1142.431
104, Hop4, -3, Hop4, 87, 90, left, 3, closed, closed, -6.651459, 11.60016, 161.3194, 1.628906, 1146.844
105, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, left, 4, open, open, -5.866547, 12.42328, 257.6179, 0.9885254, 1150.339
106, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, right, 2, open, open, -8.276398, 14.05772, 343.8841, 1.197266, 1154.125
107, NeutralHop4, 0, Hop4, -93, -90, right, 4, open, open, 7.929773, 4.965105, -163.9714, 0.9748535, 1172.241
108, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -5.031921, 7.6361, 156.762, 0.9329834, 1175.722
109, Neutral53Commons, 0, 53Commons, -90, -90, right, 4, closed, closed, 7.97413, 4.848169, -162.949, 1.044312, 1179.272
110, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -4.400299, 6.534113, 327.9339, 0.9049072, 1182.934
111, NeutralUmplebys, 0, Umplebys, -140, -90, left, 2, open, open, 7.284007, 6.110949, -210.663, 1.030396, 1186.526
112, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, left, 3, closed, closed, -4.83255, 3.982578, 65.8937, 0.9886475, 1190.187
113, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -2.569, 1.530343, 138.0801, 0.682373, 1193.389
114, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -3.677582, 8.565071, 333.4816, 1.461914, 1197.399
115, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 6.796125, 2.472291, -141.2577, 0.682251, 1200.81
116, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, 0.2732855, -1.913147, 124.6023, 0.682251, 1204.179
117, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, left, 4, closed, closed, 2.489094, -1.195801, 21.07127, 1.057983, 1208.036
118, NeutralAllenSt, 0, AllenSt, 90, 90, left, 4, closed, closed, 1.97498, 0.2187386, 116.9618, 0.8491211, 1211.627
119, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 7.696987, 3.207536, -252.1218, 1.155518, 1215.721
120, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -2.297974, 4.631181, 151.4065, 0.9188232, 1219.313
121, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, left, 2, closed, closed, 7.216239, 3.762731, -160.6947, 0.9467773, 1222.724
122, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -3.40332, 2.708198, 148.4783, 0.7938232, 1226.093
123, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 8.764255, 4.82161, -161.6708, 1.127686, 1229.685
124, AllenSt, 0, AllenSt, 90, 90, left, 3, closed, closed, -5.451538, 9.762255, 155.285, 1.462036, 1233.889
125, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -4.815979, 6.998074, 340.5316, 0.9608154, 1237.523
126, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -5.244385, 7.153995, 157.8705, 0.9190674, 1240.906
127, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -4.613831, 6.736044, 336.2931, 0.8492432, 1244.22
128, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -4.348938, 6.079953, 153.1249, 0.807373, 1247.505
