0, McLaughlinCluster, study, 0, 0, study, -2.609985, 5.47277, 57.90261, 20211027, 15:47:02.29381, 53.49529
0, McLaughlinCluster, study, 0, 0, study, -2.551636, 5.404243, 58.3555, 20211027, 15:47:02.30790, 53.50919
0, McLaughlinCluster, study, 0, 0, study, -2.476379, 5.392573, 58.85017, 20211027, 15:47:02.32155, 53.52308
0, McLaughlinCluster, study, 0, 0, study, -2.370178, 5.331349, 59.3726, 20211027, 15:47:02.33534, 53.53706
0, McLaughlinCluster, study, 0, 0, study, -2.29071, 5.23992, 59.91943, 20211027, 15:47:02.34935, 53.55096
0, McLaughlinCluster, study, 0, 0, study, -2.15625, 5.234666, 60.44989, 20211027, 15:47:02.36330, 53.56488
0, McLaughlinCluster, study, 0, 0, study, -1.958557, 5.199788, 60.93005, 20211027, 15:47:02.37696, 53.57882
0, McLaughlinCluster, study, 0, 0, study, -1.775299, 5.133665, 61.35513, 20211027, 15:47:02.39100, 53.59264
0, McLaughlinCluster, study, 0, 0, study, -1.636444, 4.935805, 61.81393, 20211027, 15:47:02.40513, 53.6067
0, McLaughlinCluster, study, 0, 0, study, -1.466583, 4.657051, 62.33883, 20211027, 15:47:02.41912, 53.62059
0, McLaughlinCluster, study, 0, 0, study, -1.318542, 4.338212, 62.87781, 20211027, 15:47:02.43275, 53.63455
0, McLaughlinCluster, study, 0, 0, study, -1.188202, 3.989635, 63.3564, 20211027, 15:47:02.44721, 53.64846
0, McLaughlinCluster, study, 0, 0, study, -1.00705, 3.658375, 63.78917, 20211027, 15:47:02.46076, 53.66231
0, McLaughlinCluster, study, 0, 0, study, -0.7462158, 3.259608, 64.1801, 20211027, 15:47:02.47464, 53.67623
0, McLaughlinCluster, study, 0, 0, study, -0.4989319, 2.875602, 64.5937, 20211027, 15:47:02.48902, 53.69065
0, McLaughlinCluster, study, 0, 0, study, -0.209198, 2.40241, 65.01221, 20211027, 15:47:02.50262, 53.70413
0, McLaughlinCluster, study, 0, 0, study, 0.1078281, 1.850971, 65.43707, 20211027, 15:47:02.51656, 53.71814
