99, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 0.9773321, -0.7979431, 19.21652, 1.141724, 1275.69
100, NeutralHop2, 0, Hop2, -91, -90, right, 4, closed, closed, 2.096724, -0.8160706, -158.5182, 1.935181, 1280.187
101, MooreLot, 180, MooreLot, 270, 90, left, 3, open, open, -2.308807, 2.600612, 341.6921, 2.965454, 1285.659
102, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 0.2605658, 1.059358, -168.6638, 1.837769, 1290.225
103, PineBackHall, 180, PineBackHall, 270, 90, left, 3, closed, closed, -2.889709, 4.845433, 340.3106, 2.171997, 1294.931
104, Hop4, -3, Hop4, 87, 90, left, 3, closed, closed, -2.682281, 5.061872, 151.0397, 1.601196, 1298.968
105, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, left, 4, open, open, -3.853546, 4.476916, 247.6071, 1.684814, 1303.284
106, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, right, 2, open, open, -5.509399, 7.980127, 339.308, 1.810059, 1307.503
107, NeutralHop4, 0, Hop4, -93, -90, right, 4, open, open, 4.711315, -2.000336, -160.807, 1.921387, 1323.044
108, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -3.768555, -2.072449, 153.8331, 2.213623, 1327.764
109, Neutral53Commons, 0, 53Commons, -90, -90, right, 4, closed, closed, 5.145323, -1.453705, -159.4316, 2.060547, 1332.428
110, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -3.734955, 3.668116, 335.8663, 2.714966, 1337.969
111, NeutralUmplebys, 0, Umplebys, -140, -90, left, 2, open, open, 4.898234, 1.067758, -204.675, 1.44812, 1342.02
112, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, left, 3, closed, closed, -3.073914, 3.263182, 64.61314, 1.810059, 1346.267
113, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -4.781738, 3.547081, 155.1014, 0.7657471, 1349.427
114, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -4.937225, 6.378021, 334.5248, 0.9885254, 1352.796
115, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 2.218864, 4.409983, -160.1229, 1.210693, 1356.207
116, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -4.282166, 5.957619, 159.0107, 0.9747314, 1359.423
117, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, left, 4, closed, closed, -4.61084, 7.30072, 63.13367, 2.227783, 1364.296
117, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, left, 4, closed, closed, -4.61084, 7.30072, 63.13367, 2.227783, 1364.296
118, NeutralAllenSt, 0, AllenSt, 90, 90, left, 4, closed, closed, -3.594055, 4.573278, 151.659, 1.740234, 1368.347
119, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 1.907272, 4.964857, -253.0299, 0.9328613, 1371.452
120, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -4.089935, 5.388459, 148.9689, 0.7657471, 1374.612
121, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, left, 2, closed, closed, 0.8283311, 2.981127, -138.4448, 0.8353271, 1377.606
122, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -5.049133, 0.6429577, 131.607, 0.5290527, 1380.362
123, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 3.117145, 2.44521, -156.8136, 1.36438, 1384.483
124, AllenSt, 0, AllenSt, 90, 90, left, 3, closed, closed, -3.551514, 1.937367, 138.2311, 1.517578, 1388.201
125, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -4.572937, 3.367296, 318.2075, 0.682251, 1391.277
126, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -4.937988, 3.608568, 150.2131, 1.044189, 1394.744
127, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -4.855499, 3.811226, 323.2354, 0.696167, 1397.737
128, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -4.059296, 3.172293, 147.4521, 0.7657471, 1401.427
129, NeutralMaynard, 0, Maynard, -90, -90, right, 4, open, open, 1.693424, 1.335884, -162.0132, 1.768311, 1405.952
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, 3.145376, 0.9698474, 18.49368, 1.058228, 1409.641
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -3.355377, 1.567677, 62.21758, 0.8076172, 1412.801
132, NeutralAllenSt, 0, AllenSt, -90, -90, left, 2, open, open, 3.148277, 2.442971, -161.0289, 1.099854, 1416.894
133, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 3.379228, 2.671852, 27.73093, 0.6265869, 1419.93
134, NeutralHop2, 0, Hop2, 89, 90, left, 4, open, open, -2.652954, 4.328083, 151.4993, 1.796021, 1424.58
135, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, left, 3, open, open, -2.827972, 4.429904, 246.8577, 1.642822, 1428.547
136, NeutralZimmerman, 0, Zimmerman, -190, -90, right, 4, closed, closed, 3.755995, 2.982814, -258.5179, 1.796143, 1432.585
137, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 3.533178, 3.709308, -155.1821, 0.8773193, 1435.801
138, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, left, 2, closed, closed, 3.710835, 4.669164, 23.7442, 0.8626709, 1439.059
139, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -3.230927, 5.353122, 331.0238, 0.8076172, 1442.456
140, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, open, -3.65686, 3.657803, 156.9516, 0.8909912, 1445.964
141, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 0.9694545, 0.9793723, 34.0318, 0.6126709, 1449.528
142, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, right, 2, open, open, -2.324493, 4.403526, 152.5681, 4.510864, 1456.308
143, NeutralFairbanks, 0, Fairbanks, -90, -90, left, 2, open, open, 2.416836, -1.123383, -161.9601, 1.392334, 1460.527
144, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -6.125641, 2.103314, 158.1503, 0.6264648, 1463.646
145, NeutralPineBackHall, 0, PineBackHall, 90, -90, right, 4, open, closed, 5.776869, 4.179189, 6.941071, 2.032715, 1468.087
146, NeutralHop2, 0, Hop2, -91, -90, left, 2, closed, closed, 5.461488, 1.984115, -162.4105, 0.8074951, 1471.247
147, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -6.930511, 3.513137, 331.6171, 0.5847168, 1474.491
148, Umplebys, -50, Umplebys, 40, 90, left, 3, closed, closed, -4.642487, 2.952623, 112.1988, 1.615112, 1478.779
149, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, left, 3, open, open, -3.463043, 6.033791, 337.6663, 2.060669, 1483.527
150, Neutral53Commons, 0, 53Commons, -90, -90, left, 2, closed, closed, 0.1012638, -1.298798, -133.2901, 1.698486, 1487.912
151, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 1.345294, -0.3782959, -156.2811, 0.8214111, 1491.518
152, Hop4, -3, Hop4, -93, -90, left, 1, open, closed, 3.398722, 1.187719, -161.6325, 0.8491211, 1494.748
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 4.689301, 0.6933652, -261.6451, 0.9606934, 1498.507
154, NeutralMaynard, 0, Maynard, -90, -90, left, 2, open, open, 3.709315, 0.4940093, -163.4605, 1.656982, 1502.517
155, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 3.733578, 2.693158, -249.6907, 1.197388, 1505.928
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 1.869283, 3.178279, -167.3259, 2.159302, 1510.37
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, open, -3.478088, 4.556057, 329.5103, 2.060547, 1514.685
158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 3.548682, 1.32439, -159.7712, 0.9190674, 1518.207
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -4.488983, 2.522489, 150.211, 1.113892, 1521.618
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, 2.023578, 0.6221409, -160.9705, 1.990845, 1526.143
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, open, 2.174464, 0.1183143, -250.7499, 1.879395, 1538.186
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -2.811981, 1.277992, 48.60506, 2.339111, 1542.905
163, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -4.154327, -0.02584839, 154.9683, 1.072144, 1546.428
164, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -5.22345, 4.786287, 338.5375, 1.016479, 1550.034
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 0.8669301, 1.857496, -159.1778, 1.016357, 1553.584
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -3.958893, 4.925743, 152.8525, 0.8632813, 1557.148
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -4.683594, 2.459732, 58.14198, 0.9329834, 1560.531
168, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, right, 3, open, open, 1.615359, 0.7001031, -253.4831, 1.837646, 1565.056
