0, McLaughlinCluster, study, 0, 0, study, -3.195007, 3.414426, 10.40147, 20211015, 12:52:54.38576, 27.23544
0, McLaughlinCluster, study, 0, 0, study, -3.178223, 3.087528, 10.17279, 20211015, 12:52:54.40027, 27.24939
0, McLaughlinCluster, study, 0, 0, study, -3.08313, 2.787117, 9.991092, 20211015, 12:52:54.41396, 27.26339
0, McLaughlinCluster, study, 0, 0, study, -2.994965, 2.628983, 9.831676, 20211015, 12:52:54.42757, 27.27727
0, McLaughlinCluster, study, 0, 0, study, -2.973083, 2.56679, 9.709444, 20211015, 12:52:54.44214, 27.2912
0, McLaughlinCluster, study, 0, 0, study, -2.933197, 2.468109, 9.59124, 20211015, 12:52:54.45566, 27.30512
0, McLaughlinCluster, study, 0, 0, study, -2.910675, 2.280663, 9.508586, 20211015, 12:52:54.46962, 27.31904
0, McLaughlinCluster, study, 0, 0, study, -3.04007, 2.02034, 9.479579, 20211015, 12:52:54.48374, 27.33301
0, McLaughlinCluster, study, 0, 0, study, -3.103119, 1.604136, 9.43812, 20211015, 12:52:54.49769, 27.34683
0, McLaughlinCluster, study, 0, 0, study, -3.091522, 1.252391, 9.45535, 20211015, 12:52:54.51141, 27.36082
0, McLaughlinCluster, study, 0, 0, study, -3.051941, 1.062683, 9.38216, 20211015, 12:52:54.52541, 27.3748
0, McLaughlinCluster, study, 0, 0, study, -3.004944, 0.9885017, 9.284356, 20211015, 12:52:54.53950, 27.38867
0, McLaughlinCluster, study, 0, 0, study, -2.97937, 0.9934009, 9.231108, 20211015, 12:52:54.55322, 27.40263
0, McLaughlinCluster, study, 0, 0, study, -2.952911, 1.007627, 9.13447, 20211015, 12:52:54.56697, 27.41644
0, McLaughlinCluster, study, 0, 0, study, -2.820435, 1.046826, 9.05057, 20211015, 12:52:54.58127, 27.43044
0, McLaughlinCluster, study, 0, 0, study, -2.630249, 1.047302, 8.949739, 20211015, 12:52:54.59490, 27.44432
0, McLaughlinCluster, study, 0, 0, study, -2.353851, 0.9877819, 8.858428, 20211015, 12:52:54.60855, 27.45825
0, McLaughlinCluster, study, 0, 0, study, -2.223724, 0.9583068, 8.728879, 20211015, 12:52:54.62281, 27.47227
0, McLaughlinCluster, study, 0, 0, study, -2.156494, 0.8905034, 8.566199, 20211015, 12:52:54.63673, 27.48613
0, McLaughlinCluster, study, 0, 0, study, -2.098267, 0.6983628, 8.397307, 20211015, 12:52:54.65057, 27.50001
0, McLaughlinCluster, study, 0, 0, study, -1.939697, 0.5255518, 8.222158, 20211015, 12:52:54.66428, 27.51399
0, McLaughlinCluster, study, 0, 0, study, -1.760223, 0.3474218, 7.993337, 20211015, 12:52:54.67890, 27.52841
0, McLaughlinCluster, study, 0, 0, study, -1.641876, 0.1977118, 7.764399, 20211015, 12:52:54.69238, 27.54181
0, McLaughlinCluster, study, 0, 0, study, -1.557343, 0.05908532, 7.515573, 20211015, 12:52:54.70599, 27.55569
0, McLaughlinCluster, study, 0, 0, study, -1.476685, -0.0451355, 7.268009, 20211015, 12:52:54.72017, 27.56961
0, McLaughlinCluster, study, 0, 0, study, -1.360809, -0.1853638, 6.945481, 20211015, 12:52:54.73406, 27.58347
0, McLaughlinCluster, study, 0, 0, study, -1.21701, -0.2866211, 6.640876, 20211015, 12:52:54.74771, 27.59745
0, McLaughlinCluster, study, 0, 0, study, -1.104492, -0.3871155, 6.258552, 20211015, 12:52:54.76226, 27.61138
0, McLaughlinCluster, study, 0, 0, study, -1.030792, -0.4786682, 5.909324, 20211015, 12:52:54.77600, 27.62531
0, McLaughlinCluster, study, 0, 0, study, -0.9431458, -0.533905, 5.525393, 20211015, 12:52:54.78992, 27.63927
0, McLaughlinCluster, study, 0, 0, study, -0.7853088, -0.6269531, 5.130337, 20211015, 12:52:54.80483, 27.65425
0, McLaughlinCluster, study, 0, 0, study, -0.546051, -0.714447, 4.707731, 20211015, 12:52:54.81816, 27.66717
0, McLaughlinCluster, study, 0, 0, study, -0.2664185, -0.8401489, 4.264358, 20211015, 12:52:54.83176, 27.68104
0, McLaughlinCluster, study, 0, 0, study, -0.07885742, -1.041626, 3.791143, 20211015, 12:52:54.84536, 27.69504
0, McLaughlinCluster, study, 0, 0, study, 0.003510491, -1.288818, 3.301478, 20211015, 12:52:54.85957, 27.70899
0, McLaughlinCluster, study, 0, 0, study, 0.08642742, -1.552063, 2.85603, 20211015, 12:52:54.87348, 27.72289
0, McLaughlinCluster, study, 0, 0, study, 0.1766891, -1.781189, 2.38459, 20211015, 12:52:54.88730, 27.73701
0, McLaughlinCluster, study, 0, 0, study, 0.3092465, -2.009003, 1.918752, 20211015, 12:52:54.90161, 27.75087
0, McLaughlinCluster, study, 0, 0, study, 0.4887244, -2.158539, 1.400468, 20211015, 12:52:54.91519, 27.76457
0, McLaughlinCluster, study, 0, 0, study, 0.6706921, -2.276672, 0.9453192, 20211015, 12:52:54.92888, 27.77857
0, McLaughlinCluster, study, 0, 0, study, 0.8541365, -2.32785, 0.5186278, 20211015, 12:52:54.94317, 27.79253
0, McLaughlinCluster, study, 0, 0, study, 0.9951757, -2.427368, 0.1547683, 20211015, 12:52:54.95718, 27.80644
0, McLaughlinCluster, study, 0, 0, study, 1.089235, -2.507233, -0.1464539, 20211015, 12:52:54.97090, 27.8203
0, McLaughlinCluster, study, 0, 0, study, 1.149285, -2.629425, -0.3642883, 20211015, 12:52:54.98454, 27.83417
0, McLaughlinCluster, study, 0, 0, study, 1.241993, -2.791443, -0.5328979, 20211015, 12:52:54.99871, 27.84814
0, McLaughlinCluster, study, 0, 0, study, 1.384572, -2.920105, -0.6594849, 20211015, 12:52:55.01281, 27.86212
0, McLaughlinCluster, study, 0, 0, study, 1.571363, -3.075562, -0.7568054, 20211015, 12:52:55.02635, 27.87605
0, McLaughlinCluster, study, 0, 0, study, 1.731818, -3.165009, -0.7828979, 20211015, 12:52:55.04051, 27.88988
0, McLaughlinCluster, study, 0, 0, study, 1.832841, -3.27832, -0.7936707, 20211015, 12:52:55.05460, 27.90396
0, McLaughlinCluster, study, 0, 0, study, 1.876779, -3.355835, -0.7808228, 20211015, 12:52:55.06808, 27.9178
0, McLaughlinCluster, study, 0, 0, study, 1.903908, -3.438446, -0.7489319, 20211015, 12:52:55.08228, 27.93164
0, McLaughlinCluster, study, 0, 0, study, 1.950278, -3.565094, -0.6993408, 20211015, 12:52:55.09618, 27.94555
0, McLaughlinCluster, study, 0, 0, study, 2.0419, -3.719391, -0.6894531, 20211015, 12:52:55.10986, 27.95956
0, McLaughlinCluster, study, 0, 0, study, 2.139398, -3.896637, -0.7058105, 20211015, 12:52:55.12405, 27.97343
0, McLaughlinCluster, study, 0, 0, study, 2.202491, -4.152039, -0.7052307, 20211015, 12:52:55.13803, 27.98744
0, McLaughlinCluster, study, 0, 0, study, 2.281714, -4.30835, -0.7270508, 20211015, 12:52:55.15188, 28.00125
0, McLaughlinCluster, study, 0, 0, study, 2.312742, -4.517395, -0.7973328, 20211015, 12:52:55.16589, 28.0152
0, McLaughlinCluster, study, 0, 0, study, 2.338586, -4.717438, -0.9507751, 20211015, 12:52:55.17976, 28.02916
0, McLaughlinCluster, study, 0, 0, study, 2.365531, -4.860046, -1.055206, 20211015, 12:52:55.19386, 28.04312
0, McLaughlinCluster, study, 0, 0, study, 2.40422, -5.007172, -1.21402, 20211015, 12:52:55.20784, 28.05752
0, McLaughlinCluster, study, 0, 0, study, 2.456608, -5.099487, -1.410614, 20211015, 12:52:55.22180, 28.07108
0, McLaughlinCluster, study, 0, 0, study, 2.474147, -5.136871, -1.584534, 20211015, 12:52:55.23569, 28.08493
0, McLaughlinCluster, study, 0, 0, study, 2.477411, -5.171448, -1.720032, 20211015, 12:52:55.24913, 28.09871
0, McLaughlinCluster, study, 0, 0, study, 2.433704, -5.178131, -1.870605, 20211015, 12:52:55.26343, 28.11276
0, McLaughlinCluster, study, 0, 0, study, 2.384458, -5.151184, -1.954102, 20211015, 12:52:55.27717, 28.12662
0, McLaughlinCluster, study, 0, 0, study, 2.35828, -5.220245, -2.039795, 20211015, 12:52:55.29121, 28.1406
0, McLaughlinCluster, study, 0, 0, study, 2.369122, -5.254639, -2.078644, 20211015, 12:52:55.30476, 28.15445
0, McLaughlinCluster, study, 0, 0, study, 2.407448, -5.319672, -2.116333, 20211015, 12:52:55.31889, 28.16825
0, McLaughlinCluster, study, 0, 0, study, 2.420562, -5.323273, -2.099579, 20211015, 12:52:55.33288, 28.18225
0, McLaughlinCluster, study, 0, 0, study, 2.410042, -5.286591, -2.06604, 20211015, 12:52:55.34643, 28.19614
0, McLaughlinCluster, study, 0, 0, study, 2.375967, -5.215729, -2.027863, 20211015, 12:52:55.36068, 28.21011
0, McLaughlinCluster, study, 0, 0, study, 2.348798, -5.108032, -1.980255, 20211015, 12:52:55.37471, 28.22403
0, McLaughlinCluster, study, 0, 0, study, 2.273437, -4.951233, -1.956085, 20211015, 12:52:55.38838, 28.23809
0, McLaughlinCluster, study, 0, 0, study, 2.186173, -4.75473, -1.900269, 20211015, 12:52:55.40268, 28.25202
0, McLaughlinCluster, study, 0, 0, study, 2.125518, -4.615631, -1.865997, 20211015, 12:52:55.41645, 28.26579
0, McLaughlinCluster, study, 0, 0, study, 2.068211, -4.454224, -1.811859, 20211015, 12:52:55.42999, 28.27967
0, McLaughlinCluster, study, 0, 0, study, 2.009169, -4.285156, -1.777252, 20211015, 12:52:55.44424, 28.29362
0, McLaughlinCluster, study, 0, 0, study, 1.915889, -4.168671, -1.778656, 20211015, 12:52:55.45826, 28.30767
0, McLaughlinCluster, study, 0, 0, study, 1.871122, -4.09256, -1.757172, 20211015, 12:52:55.47229, 28.32158
0, McLaughlinCluster, study, 0, 0, study, 1.760796, -4.098999, -1.757233, 20211015, 12:52:55.48573, 28.33535
0, McLaughlinCluster, study, 0, 0, study, 1.576675, -4.06076, -1.719604, 20211015, 12:52:55.49993, 28.34932
0, McLaughlinCluster, study, 0, 0, study, 1.416117, -3.990417, -1.701385, 20211015, 12:52:55.51391, 28.36331
0, McLaughlinCluster, study, 0, 0, study, 1.255451, -3.887207, -1.638489, 20211015, 12:52:55.52790, 28.37726
0, McLaughlinCluster, study, 0, 0, study, 1.112301, -3.688843, -1.561523, 20211015, 12:52:55.54185, 28.39116
0, McLaughlinCluster, study, 0, 0, study, 0.9597632, -3.517731, -1.495087, 20211015, 12:52:55.55561, 28.405
0, McLaughlinCluster, study, 0, 0, study, 0.7423457, -3.211395, -1.369751, 20211015, 12:52:55.56930, 28.41901
0, McLaughlinCluster, study, 0, 0, study, 0.5413669, -2.872437, -1.298737, 20211015, 12:52:55.58345, 28.43283
0, McLaughlinCluster, study, 0, 0, study, 0.3339173, -2.489594, -1.199371, 20211015, 12:52:55.59781, 28.44681
0, McLaughlinCluster, study, 0, 0, study, 0.1844236, -2.105682, -1.126526, 20211015, 12:52:55.61135, 28.46074
0, McLaughlinCluster, study, 0, 0, study, 0.06536475, -1.83905, -1.038483, 20211015, 12:52:55.62510, 28.47473
0, McLaughlinCluster, study, 0, 0, study, 0.0337694, -1.671326, -0.9592285, 20211015, 12:52:55.63926, 28.48868
0, McLaughlinCluster, study, 0, 0, study, 0.02449941, -1.612854, -0.8358459, 20211015, 12:52:55.65325, 28.50255
0, McLaughlinCluster, study, 0, 0, study, 0.01319559, -1.592926, -0.7144165, 20211015, 12:52:55.66705, 28.51638
