2, Fairbanks, Fairbanks, -90, -90, left, 2.498212, 4.449314, -140.6378, 20211005, 15:28:39.01347, 694.2525
2, Fairbanks, Fairbanks, -90, -90, left, 2.654887, 4.573517, -142.5729, 20211005, 15:28:39.02750, 694.2665
2, Fairbanks, Fairbanks, -90, -90, left, 2.688908, 4.653931, -144.3994, 20211005, 15:28:39.04147, 694.2803
2, Fairbanks, Fairbanks, -90, -90, left, 2.693958, 4.806463, -146.1562, 20211005, 15:28:39.05499, 694.2943
2, Fairbanks, Fairbanks, -90, -90, left, 2.653107, 5.037114, -147.8446, 20211005, 15:28:39.06923, 694.3083
2, Fairbanks, Fairbanks, -90, -90, left, 2.595626, 5.28243, -149.5236, 20211005, 15:28:39.08307, 694.3221
2, Fairbanks, Fairbanks, -90, -90, left, 2.558567, 5.529038, -151.1443, 20211005, 15:28:39.09670, 694.3361
2, Fairbanks, Fairbanks, -90, -90, left, 2.504224, 5.715714, -152.69, 20211005, 15:28:39.11094, 694.35
2, Fairbanks, Fairbanks, -90, -90, left, 2.459589, 5.855463, -154.1822, 20211005, 15:28:39.12489, 694.3639
2, Fairbanks, Fairbanks, -90, -90, left, 2.423389, 5.990118, -155.6114, 20211005, 15:28:39.13865, 694.3779
2, Fairbanks, Fairbanks, -90, -90, left, 2.453387, 6.1473, -157.0491, 20211005, 15:28:39.15284, 694.3918
2, Fairbanks, Fairbanks, -90, -90, left, 2.538556, 6.3677, -158.4242, 20211005, 15:28:39.16667, 694.4056
2, Fairbanks, Fairbanks, -90, -90, left, 2.631138, 6.573733, -159.6979, 20211005, 15:28:39.18021, 694.4196
2, Fairbanks, Fairbanks, -90, -90, left, 2.656339, 6.714636, -160.8958, 20211005, 15:28:39.19443, 694.4335
2, Fairbanks, Fairbanks, -90, -90, left, 2.648122, 6.815487, -162.0027, 20211005, 15:28:39.20843, 694.4474
2, Fairbanks, Fairbanks, -90, -90, left, 2.671023, 6.972824, -163.0428, 20211005, 15:28:39.22245, 694.4615
2, Fairbanks, Fairbanks, -90, -90, left, 2.697301, 7.142762, -164.0202, 20211005, 15:28:39.23601, 694.4753
2, Fairbanks, Fairbanks, -90, -90, left, 2.667292, 7.267272, -164.8894, 20211005, 15:28:39.25018, 694.4891
2, Fairbanks, Fairbanks, -90, -90, left, 2.639377, 7.408188, -165.6612, 20211005, 15:28:39.26399, 694.5031
2, Fairbanks, Fairbanks, -90, -90, left, 2.696137, 7.572842, -166.3192, 20211005, 15:28:39.27767, 694.517
2, Fairbanks, Fairbanks, -90, -90, left, 2.756651, 7.732073, -166.9537, 20211005, 15:28:39.29203, 694.531
2, Fairbanks, Fairbanks, -90, -90, left, 2.841558, 7.841629, -167.5505, 20211005, 15:28:39.30594, 694.5449
2, Fairbanks, Fairbanks, -90, -90, left, 2.891868, 7.953994, -168.0846, 20211005, 15:28:39.31953, 694.5588
