0, McLaughlinCluster, study, 0, 0, study, 2.453409, 0.5345232, 6.276269, 20210928, 17:00:21.92958, 23.28655
0, McLaughlinCluster, study, 0, 0, study, 2.315918, 0.6630218, 6.176361, 20210928, 17:00:21.94381, 23.30054
0, McLaughlinCluster, study, 0, 0, study, 2.152872, 0.8427221, 6.046922, 20210928, 17:00:21.95709, 23.31441
0, McLaughlinCluster, study, 0, 0, study, 2.002369, 1.008279, 5.854439, 20210928, 17:00:21.97142, 23.32838
0, McLaughlinCluster, study, 0, 0, study, 1.872217, 1.165385, 5.635298, 20210928, 17:00:21.98523, 23.34226
0, McLaughlinCluster, study, 0, 0, study, 1.717213, 1.348529, 5.394468, 20210928, 17:00:21.99889, 23.35614
0, McLaughlinCluster, study, 0, 0, study, 1.564316, 1.537117, 5.153263, 20210928, 17:00:22.01304, 23.37001
0, McLaughlinCluster, study, 0, 0, study, 1.40546, 1.682515, 4.879758, 20210928, 17:00:22.02693, 23.38406
0, McLaughlinCluster, study, 0, 0, study, 1.293521, 1.805471, 4.581828, 20210928, 17:00:22.04059, 23.39795
0, McLaughlinCluster, study, 0, 0, study, 1.205635, 1.879986, 4.280882, 20210928, 17:00:22.05482, 23.41187
0, McLaughlinCluster, study, 0, 0, study, 1.156527, 1.943344, 3.912371, 20210928, 17:00:22.06875, 23.42579
0, McLaughlinCluster, study, 0, 0, study, 1.094556, 2.018598, 3.488748, 20210928, 17:00:22.08242, 23.43969
0, McLaughlinCluster, study, 0, 0, study, 1.037072, 2.150824, 3.070806, 20210928, 17:00:22.09666, 23.45361
0, McLaughlinCluster, study, 0, 0, study, 0.9457802, 2.321218, 2.628114, 20210928, 17:00:22.11051, 23.4675
0, McLaughlinCluster, study, 0, 0, study, 0.8293402, 2.498983, 2.186763, 20210928, 17:00:22.12452, 23.4815
0, McLaughlinCluster, study, 0, 0, study, 0.7128535, 2.708463, 1.792281, 20210928, 17:00:22.13814, 23.49545
0, McLaughlinCluster, study, 0, 0, study, 0.6223505, 2.903217, 1.420488, 20210928, 17:00:22.15230, 23.50932
0, McLaughlinCluster, study, 0, 0, study, 0.5354676, 3.161155, 1.060157, 20210928, 17:00:22.16631, 23.52325
0, McLaughlinCluster, study, 0, 0, study, 0.431346, 3.493651, 0.6898232, 20210928, 17:00:22.17986, 23.53719
0, McLaughlinCluster, study, 0, 0, study, 0.2712673, 3.898846, 0.3182687, 20210928, 17:00:22.19444, 23.55148
0, McLaughlinCluster, study, 0, 0, study, 0.07321639, 4.27782, -0.0166626, 20210928, 17:00:22.20793, 23.56497
0, McLaughlinCluster, study, 0, 0, study, -0.07687378, 4.483958, -0.401825, 20210928, 17:00:22.22168, 23.57895
0, McLaughlinCluster, study, 0, 0, study, -0.2226257, 4.60783, -0.8208313, 20210928, 17:00:22.23593, 23.59288
0, McLaughlinCluster, study, 0, 0, study, -0.4107666, 4.772264, -1.247681, 20210928, 17:00:22.24989, 23.60684
0, McLaughlinCluster, study, 0, 0, study, -0.5691528, 4.90931, -1.745758, 20210928, 17:00:22.26356, 23.62061
0, McLaughlinCluster, study, 0, 0, study, -0.6965027, 5.001449, -2.309082, 20210928, 17:00:22.27725, 23.63456
0, McLaughlinCluster, study, 0, 0, study, -0.7734985, 4.999495, -3.075745, 20210928, 17:00:22.29153, 23.64857
0, McLaughlinCluster, study, 0, 0, study, -0.8572083, 4.847186, -4.116425, 20210928, 17:00:22.30582, 23.66254
0, McLaughlinCluster, study, 0, 0, study, -1.051544, 4.587572, -5.306885, 20210928, 17:00:22.31913, 23.6764
0, McLaughlinCluster, study, 0, 0, study, -1.288696, 4.285487, -6.640076, 20210928, 17:00:22.33334, 23.69035
0, McLaughlinCluster, study, 0, 0, study, -1.488342, 4.002098, -7.95285, 20210928, 17:00:22.34721, 23.70418
0, McLaughlinCluster, study, 0, 0, study, -1.56192, 3.691897, -9.352905, 20210928, 17:00:22.36076, 23.71812
0, McLaughlinCluster, study, 0, 0, study, -1.57074, 3.365176, -10.81116, 20210928, 17:00:22.37499, 23.73206
0, McLaughlinCluster, study, 0, 0, study, -1.585236, 3.024971, -12.32065, 20210928, 17:00:22.38894, 23.74601
0, McLaughlinCluster, study, 0, 0, study, -1.60141, 2.694688, -13.92065, 20210928, 17:00:22.40260, 23.75997
0, McLaughlinCluster, study, 0, 0, study, -1.608398, 2.366763, -15.52856, 20210928, 17:00:22.41676, 23.77384
0, McLaughlinCluster, study, 0, 0, study, -1.567719, 2.069266, -17.12402, 20210928, 17:00:22.43068, 23.78771
