0, McLaughlinCluster, study, 0, 0, study, -5.83139, 12.28912, 25.74059, 20210824, 19:49:22.55887, 13.33239
0, McLaughlinCluster, study, 0, 0, study, -5.834564, 12.23649, 25.64461, 20210824, 19:49:22.57289, 13.34642
0, McLaughlinCluster, study, 0, 0, study, -5.83316, 12.19434, 25.54629, 20210824, 19:49:22.58644, 13.36004
0, McLaughlinCluster, study, 0, 0, study, -5.83374, 12.04836, 25.49034, 20210824, 19:49:22.60042, 13.37427
0, McLaughlinCluster, study, 0, 0, study, -5.842102, 11.89148, 25.41864, 20210824, 19:49:22.61469, 13.38812
0, McLaughlinCluster, study, 0, 0, study, -5.859985, 11.74754, 25.35192, 20210824, 19:49:22.62849, 13.4021
0, McLaughlinCluster, study, 0, 0, study, -5.87558, 11.62897, 25.29676, 20210824, 19:49:22.64214, 13.41599
0, McLaughlinCluster, study, 0, 0, study, -5.875031, 11.54125, 25.21577, 20210824, 19:49:22.65638, 13.42993
0, McLaughlinCluster, study, 0, 0, study, -5.887115, 11.43777, 25.16206, 20210824, 19:49:22.67024, 13.44385
0, McLaughlinCluster, study, 0, 0, study, -5.863098, 11.33964, 25.16001, 20210824, 19:49:22.68389, 13.45767
0, McLaughlinCluster, study, 0, 0, study, -5.886566, 11.20836, 25.16411, 20210824, 19:49:22.69827, 13.47168
0, McLaughlinCluster, study, 0, 0, study, -5.914215, 11.10747, 25.17933, 20210824, 19:49:22.71198, 13.48558
0, McLaughlinCluster, study, 0, 0, study, -5.936035, 11.02523, 25.2241, 20210824, 19:49:22.72604, 13.49985
0, McLaughlinCluster, study, 0, 0, study, -5.974609, 10.91469, 25.23323, 20210824, 19:49:22.73995, 13.51349
0, McLaughlinCluster, study, 0, 0, study, -5.982635, 10.83297, 25.29141, 20210824, 19:49:22.75365, 13.52728
0, McLaughlinCluster, study, 0, 0, study, -5.990875, 10.72744, 25.35188, 20210824, 19:49:22.76781, 13.54135
