3, Hop2, Hop2, 89, 90, left, -4.871552, 1.500704, 158.3701, 20210825, 09:46:25.23894, 650.9901
3, Hop2, Hop2, 89, 90, left, -4.773285, 1.616261, 158.3442, 20210825, 09:46:25.25242, 651.0039
3, Hop2, Hop2, 89, 90, left, -4.721893, 1.669098, 158.2342, 20210825, 09:46:25.26606, 651.0178
3, Hop2, Hop2, 89, 90, left, -4.679443, 1.701633, 158.0616, 20210825, 09:46:25.28030, 651.0317
3, Hop2, Hop2, 89, 90, left, -4.670258, 1.694598, 157.8895, 20210825, 09:46:25.29423, 651.0457
3, Hop2, Hop2, 89, 90, left, -4.693268, 1.666755, 157.678, 20210825, 09:46:25.30806, 651.0598
3, Hop2, Hop2, 89, 90, left, -4.759583, 1.573358, 157.4905, 20210825, 09:46:25.32202, 651.0735
3, Hop2, Hop2, 89, 90, left, -4.804474, 1.464295, 157.2663, 20210825, 09:46:25.33600, 651.0875
3, Hop2, Hop2, 89, 90, left, -4.802185, 1.356225, 157.0033, 20210825, 09:46:25.35001, 651.1014
3, Hop2, Hop2, 89, 90, left, -4.806152, 1.227326, 156.7301, 20210825, 09:46:25.36386, 651.1152
3, Hop2, Hop2, 89, 90, left, -4.78186, 1.075128, 156.3842, 20210825, 09:46:25.37778, 651.1293
3, Hop2, Hop2, 89, 90, left, -4.846985, 0.9636669, 156.0582, 20210825, 09:46:25.39185, 651.1432
4, NeutralFairbanks, Fairbanks, 90, 90, left, 2.00092, -11.76093, 88.24771, 20210825, 09:46:27.93962, 653.6058
4, NeutralFairbanks, Fairbanks, 90, 90, left, 1.975226, -11.76895, 88.23972, 20210825, 09:46:27.95336, 653.6199
4, NeutralFairbanks, Fairbanks, 90, 90, left, 1.947883, -11.76358, 88.23962, 20210825, 09:46:27.96733, 653.6336
4, NeutralFairbanks, Fairbanks, 90, 90, left, 1.939029, -11.73605, 88.23856, 20210825, 09:46:27.98162, 653.6476
4, NeutralFairbanks, Fairbanks, 90, 90, left, 1.942268, -11.71603, 88.24619, 20210825, 09:46:27.99551, 653.6615
4, NeutralFairbanks, Fairbanks, 90, 90, left, 1.952911, -11.71063, 88.25854, 20210825, 09:46:28.00905, 653.6754
4, NeutralFairbanks, Fairbanks, 90, 90, left, 1.979743, -11.71429, 88.25137, 20210825, 09:46:28.02326, 653.6894
4, NeutralFairbanks, Fairbanks, 90, 90, left, 1.997527, -11.72113, 88.25549, 20210825, 09:46:28.03725, 653.7033
