1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -3.28775, 5.352252, 169.4706, 5.262329, 708.3227
206, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, right, 4, closed, closed, 0.3156467, -0.4836731, -158.1183, 1.099854, 1503.154
207, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -7.212006, -4.491028, 140.8334, 0.723999, 1506.315
208, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, -3.113922, -1.089813, 27.88794, 1.155396, 1510.435
209, NeutralUmplebys, 0, Umplebys, 40, 90, right, 2, closed, closed, -4.671295, -3.506958, 96.79755, 0.8770752, 1513.665
210, RollinsChapel3, 177, RollinsChapel3, 267, 90, left, 3, closed, closed, -2.391144, -0.4993896, 326.7089, 1.113647, 1517.243
211, Zimmerman, -100, Zimmerman, -190, -90, right, 3, closed, closed, -0.01251221, -8.432037, -277.2779, 0.668335, 1520.375
212, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, closed, -2.744751, -8.288879, 23.26376, 1.002441, 1523.814
213, RollinsChapel3, 177, RollinsChapel3, 87, -90, right, 3, open, open, -6.307861, -8.966949, 23.14899, 0.7657471, 1527.211
214, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -5.299988, 2.60373, 59.73625, 0.9466553, 1530.496
215, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, 0.2003348, -7.272736, 97.39069, 0.9886475, 1533.712
216, RaunerBackHall, 0, RaunerBackHall, 90, 90, left, 3, open, closed, -9.490112, -11.76773, 107.8589, 0.5709229, 1536.733
