0, McLaughlinCluster, study, 0, 0, study, -3.905396, 2.82332, 35.36699, 20211019, 11:47:57.34633, 27.37194
0, McLaughlinCluster, study, 0, 0, study, -3.838348, 2.942756, 36.45909, 20211019, 11:47:57.36071, 27.3859
0, McLaughlinCluster, study, 0, 0, study, -3.76535, 2.983147, 37.61988, 20211019, 11:47:57.37407, 27.3999
0, McLaughlinCluster, study, 0, 0, study, -3.683868, 2.970819, 38.75035, 20211019, 11:47:57.38858, 27.41385
0, McLaughlinCluster, study, 0, 0, study, -3.704681, 2.982728, 39.88909, 20211019, 11:47:57.40216, 27.4277
0, McLaughlinCluster, study, 0, 0, study, -3.670807, 3.076028, 41.0006, 20211019, 11:47:57.41622, 27.44162
0, McLaughlinCluster, study, 0, 0, study, -3.501556, 3.155824, 42.07991, 20211019, 11:47:57.43046, 27.45617
0, McLaughlinCluster, study, 0, 0, study, -3.331055, 3.26134, 43.08256, 20211019, 11:47:57.44401, 27.46962
0, McLaughlinCluster, study, 0, 0, study, -3.216187, 3.289557, 44.04488, 20211019, 11:47:57.45783, 27.48338
0, McLaughlinCluster, study, 0, 0, study, -3.143097, 3.244946, 45.02443, 20211019, 11:47:57.47162, 27.49734
0, McLaughlinCluster, study, 0, 0, study, -3.065308, 3.163516, 46.02594, 20211019, 11:47:57.48600, 27.51123
0, McLaughlinCluster, study, 0, 0, study, -3.047089, 3.121817, 46.95177, 20211019, 11:47:57.49985, 27.52513
0, McLaughlinCluster, study, 0, 0, study, -3.212189, 3.118508, 47.89624, 20211019, 11:47:57.51359, 27.53941
0, McLaughlinCluster, study, 0, 0, study, -3.386719, 3.071812, 48.97372, 20211019, 11:47:57.52829, 27.55389
0, McLaughlinCluster, study, 0, 0, study, -3.360596, 2.980033, 49.96426, 20211019, 11:47:57.54141, 27.56696
0, McLaughlinCluster, study, 0, 0, study, -3.274902, 2.92508, 50.73952, 20211019, 11:47:57.55547, 27.58103
0, McLaughlinCluster, study, 0, 0, study, -3.256165, 2.926428, 51.41879, 20211019, 11:47:57.56899, 27.59477
0, McLaughlinCluster, study, 0, 0, study, -3.276031, 2.924944, 52.0024, 20211019, 11:47:57.58345, 27.60885
0, McLaughlinCluster, study, 0, 0, study, -3.355804, 2.945131, 52.68145, 20211019, 11:47:57.59715, 27.62261
0, McLaughlinCluster, study, 0, 0, study, -3.409668, 2.956437, 53.41901, 20211019, 11:47:57.61079, 27.63656
0, McLaughlinCluster, study, 0, 0, study, -3.390564, 2.95173, 54.04552, 20211019, 11:47:57.62520, 27.65049
0, McLaughlinCluster, study, 0, 0, study, -3.366211, 2.947906, 54.49232, 20211019, 11:47:57.63875, 27.66433
0, McLaughlinCluster, study, 0, 0, study, -3.323578, 2.923061, 54.75771, 20211019, 11:47:57.65246, 27.6783
0, McLaughlinCluster, study, 0, 0, study, -3.170471, 2.92347, 54.77158, 20211019, 11:47:57.66672, 27.69226
0, McLaughlinCluster, study, 0, 0, study, -3.06601, 2.934427, 54.50073, 20211019, 11:47:57.68076, 27.70627
0, McLaughlinCluster, study, 0, 0, study, -3.139893, 2.99466, 54.05363, 20211019, 11:47:57.69459, 27.72016
0, McLaughlinCluster, study, 0, 0, study, -3.308167, 3.083539, 53.32963, 20211019, 11:47:57.70824, 27.73408
0, McLaughlinCluster, study, 0, 0, study, -3.562378, 3.178553, 52.43081, 20211019, 11:47:57.72264, 27.74801
0, McLaughlinCluster, study, 0, 0, study, -3.85611, 3.242029, 51.34463, 20211019, 11:47:57.73629, 27.76184
0, McLaughlinCluster, study, 0, 0, study, -4.220398, 3.291363, 50.24144, 20211019, 11:47:57.75030, 27.77586
0, McLaughlinCluster, study, 0, 0, study, -4.542542, 3.269397, 49.14665, 20211019, 11:47:57.76444, 27.78973
0, McLaughlinCluster, study, 0, 0, study, -4.774078, 3.08454, 47.94513, 20211019, 11:47:57.77801, 27.80356
0, McLaughlinCluster, study, 0, 0, study, -4.885864, 2.886073, 46.71684, 20211019, 11:47:57.79173, 27.81755
0, McLaughlinCluster, study, 0, 0, study, -5.006958, 2.637917, 45.33354, 20211019, 11:47:57.80625, 27.83149
0, McLaughlinCluster, study, 0, 0, study, -5.130646, 2.255715, 43.74024, 20211019, 11:47:57.82014, 27.84541
0, McLaughlinCluster, study, 0, 0, study, -5.286102, 1.830938, 42.00406, 20211019, 11:47:57.83348, 27.85928
0, McLaughlinCluster, study, 0, 0, study, -5.391968, 1.39687, 40.17405, 20211019, 11:47:57.84756, 27.87312
0, McLaughlinCluster, study, 0, 0, study, -5.408783, 1.030252, 38.38876, 20211019, 11:47:57.86153, 27.88708
0, McLaughlinCluster, study, 0, 0, study, -5.368927, 0.684451, 36.5393, 20211019, 11:47:57.87540, 27.901
0, McLaughlinCluster, study, 0, 0, study, -5.332977, 0.3113949, 34.67412, 20211019, 11:47:57.88917, 27.91496
0, McLaughlinCluster, study, 0, 0, study, -5.306732, -0.09625244, 32.746, 20211019, 11:47:57.90335, 27.92888
0, McLaughlinCluster, study, 0, 0, study, -5.242188, -0.4868774, 30.79938, 20211019, 11:47:57.91734, 27.94286
0, McLaughlinCluster, study, 0, 0, study, -5.162445, -0.8008423, 28.81016, 20211019, 11:47:57.93105, 27.95677
0, McLaughlinCluster, study, 0, 0, study, -5.087036, -1.075287, 26.72717, 20211019, 11:47:57.94528, 27.97067
0, McLaughlinCluster, study, 0, 0, study, -5.092316, -1.496613, 24.47763, 20211019, 11:47:57.95926, 27.98455
0, McLaughlinCluster, study, 0, 0, study, -5.117462, -1.914001, 22.20952, 20211019, 11:47:57.97280, 27.9985
0, McLaughlinCluster, study, 0, 0, study, -5.119934, -2.17865, 20.07404, 20211019, 11:47:57.98710, 28.01255
0, McLaughlinCluster, study, 0, 0, study, -5.081543, -2.391327, 18.058, 20211019, 11:47:58.00093, 28.02641
0, McLaughlinCluster, study, 0, 0, study, -4.956726, -2.571381, 16.21841, 20211019, 11:47:58.01489, 28.04037
0, McLaughlinCluster, study, 0, 0, study, -4.80957, -2.688782, 14.47893, 20211019, 11:47:58.02845, 28.05421
0, McLaughlinCluster, study, 0, 0, study, -4.589294, -2.872192, 12.63569, 20211019, 11:47:58.04264, 28.06818
0, McLaughlinCluster, study, 0, 0, study, -4.394745, -3.212799, 10.81509, 20211019, 11:47:58.05668, 28.08212
0, McLaughlinCluster, study, 0, 0, study, -4.202667, -3.493683, 9.129062, 20211019, 11:47:58.07032, 28.0961
0, McLaughlinCluster, study, 0, 0, study, -3.980225, -3.704529, 7.606939, 20211019, 11:47:58.08452, 28.11
0, McLaughlinCluster, study, 0, 0, study, -3.726685, -3.820404, 6.281426, 20211019, 11:47:58.09875, 28.12389
0, McLaughlinCluster, study, 0, 0, study, -3.538635, -3.948608, 5.037517, 20211019, 11:47:58.11201, 28.13775
0, McLaughlinCluster, study, 0, 0, study, -3.351471, -4.197937, 3.745778, 20211019, 11:47:58.12654, 28.15173
0, McLaughlinCluster, study, 0, 0, study, -3.262238, -4.558655, 2.416363, 20211019, 11:47:58.14019, 28.16571
0, McLaughlinCluster, study, 0, 0, study, -3.228546, -4.886536, 1.061927, 20211019, 11:47:58.15402, 28.17977
0, McLaughlinCluster, study, 0, 0, study, -3.04071, -5.094452, -0.3052063, 20211019, 11:47:58.16843, 28.19363
0, McLaughlinCluster, study, 0, 0, study, -2.868011, -5.270813, -1.834045, 20211019, 11:47:58.18228, 28.20743
0, McLaughlinCluster, study, 0, 0, study, -2.776703, -5.606293, -3.575623, 20211019, 11:47:58.19583, 28.22125
0, McLaughlinCluster, study, 0, 0, study, -2.68692, -5.961182, -5.20694, 20211019, 11:47:58.20960, 28.23536
0, McLaughlinCluster, study, 0, 0, study, -2.589996, -6.316071, -6.556488, 20211019, 11:47:58.22376, 28.24922
0, McLaughlinCluster, study, 0, 0, study, -2.591064, -6.695068, -7.783691, 20211019, 11:47:58.23768, 28.26309
0, McLaughlinCluster, study, 0, 0, study, -2.573151, -6.99118, -8.890961, 20211019, 11:47:58.25129, 28.27702
0, McLaughlinCluster, study, 0, 0, study, -2.45694, -7.104828, -9.944611, 20211019, 11:47:58.26557, 28.29102
0, McLaughlinCluster, study, 0, 0, study, -2.278381, -7.215576, -11.12613, 20211019, 11:47:58.27944, 28.30488
0, McLaughlinCluster, study, 0, 0, study, -2.131897, -7.441772, -12.3869, 20211019, 11:47:58.29306, 28.3188
0, McLaughlinCluster, study, 0, 0, study, -1.951996, -7.716675, -13.61441, 20211019, 11:47:58.30739, 28.33284
0, McLaughlinCluster, study, 0, 0, study, -1.779449, -7.860779, -14.68036, 20211019, 11:47:58.32133, 28.34678
0, McLaughlinCluster, study, 0, 0, study, -1.677917, -8.009155, -15.66272, 20211019, 11:47:58.33513, 28.36055
