0, McLaughlinCluster, study, 0, 0, study, -6.719055, 1.455312, 80.37844, 20210825, 00:21:19.28736, 26.96101
0, McLaughlinCluster, study, 0, 0, study, -6.733826, 1.764862, 81.35613, 20210825, 00:21:19.30109, 26.975
0, McLaughlinCluster, study, 0, 0, study, -6.824402, 2.033936, 82.12224, 20210825, 00:21:19.31523, 26.98884
0, McLaughlinCluster, study, 0, 0, study, -6.919525, 2.22329, 82.72115, 20210825, 00:21:19.32910, 27.00275
0, McLaughlinCluster, study, 0, 0, study, -7.053162, 2.386988, 83.0499, 20210825, 00:21:19.34275, 27.01666
0, McLaughlinCluster, study, 0, 0, study, -7.16629, 2.569989, 83.25382, 20210825, 00:21:19.35703, 27.03061
0, McLaughlinCluster, study, 0, 0, study, -7.308014, 2.714311, 83.37595, 20210825, 00:21:19.37103, 27.04461
0, McLaughlinCluster, study, 0, 0, study, -7.479553, 2.816776, 83.31116, 20210825, 00:21:19.38460, 27.05849
0, McLaughlinCluster, study, 0, 0, study, -7.695557, 2.977872, 83.20971, 20210825, 00:21:19.39991, 27.07349
0, McLaughlinCluster, study, 0, 0, study, -7.886169, 3.141287, 83.09895, 20210825, 00:21:19.41267, 27.0863
0, McLaughlinCluster, study, 0, 0, study, -8.004303, 3.314411, 82.94903, 20210825, 00:21:19.42691, 27.10032
0, McLaughlinCluster, study, 0, 0, study, -8.075806, 3.46284, 82.79524, 20210825, 00:21:19.44051, 27.11432
0, McLaughlinCluster, study, 0, 0, study, -8.236084, 3.585281, 82.64292, 20210825, 00:21:19.45447, 27.12808
0, McLaughlinCluster, study, 0, 0, study, -8.511566, 3.67673, 82.50973, 20210825, 00:21:19.46857, 27.14218
0, McLaughlinCluster, study, 0, 0, study, -8.690887, 3.802986, 82.37524, 20210825, 00:21:19.48196, 27.15586
0, McLaughlinCluster, study, 0, 0, study, -8.746765, 3.960006, 82.21086, 20210825, 00:21:19.49625, 27.16986
0, McLaughlinCluster, study, 0, 0, study, -8.708191, 4.050862, 82.05824, 20210825, 00:21:19.51031, 27.18378
0, McLaughlinCluster, study, 0, 0, study, -8.643677, 4.073885, 81.88023, 20210825, 00:21:19.52381, 27.19767
0, McLaughlinCluster, study, 0, 0, study, -8.649445, 4.054249, 81.67271, 20210825, 00:21:19.53818, 27.21174
0, McLaughlinCluster, study, 0, 0, study, -8.653503, 3.935468, 81.44179, 20210825, 00:21:19.55250, 27.22606
0, McLaughlinCluster, study, 0, 0, study, -8.636505, 3.743342, 81.18504, 20210825, 00:21:19.56569, 27.23958
0, McLaughlinCluster, study, 0, 0, study, -8.554291, 3.513668, 80.86822, 20210825, 00:21:19.57975, 27.25336
0, McLaughlinCluster, study, 0, 0, study, -8.422058, 3.299745, 80.44154, 20210825, 00:21:19.59366, 27.26732
0, McLaughlinCluster, study, 0, 0, study, -8.270203, 3.113003, 79.87019, 20210825, 00:21:19.60763, 27.28124
0, McLaughlinCluster, study, 0, 0, study, -8.085571, 2.974346, 79.19316, 20210825, 00:21:19.62133, 27.29522
0, McLaughlinCluster, study, 0, 0, study, -7.818909, 2.884138, 78.33788, 20210825, 00:21:19.63569, 27.3092
0, McLaughlinCluster, study, 0, 0, study, -7.530365, 2.835449, 77.3593, 20210825, 00:21:19.64946, 27.32309
0, McLaughlinCluster, study, 0, 0, study, -7.2034, 2.826585, 76.09421, 20210825, 00:21:19.66328, 27.33707
0, McLaughlinCluster, study, 0, 0, study, -6.967133, 2.733437, 74.68629, 20210825, 00:21:19.67727, 27.35081
0, McLaughlinCluster, study, 0, 0, study, -6.811371, 2.59138, 73.01521, 20210825, 00:21:19.69120, 27.36481
0, McLaughlinCluster, study, 0, 0, study, -6.67157, 2.522008, 71.19005, 20210825, 00:21:19.70494, 27.37878
0, McLaughlinCluster, study, 0, 0, study, -6.485596, 2.497714, 69.27944, 20210825, 00:21:19.71895, 27.39264
0, McLaughlinCluster, study, 0, 0, study, -6.407471, 2.411907, 67.15026, 20210825, 00:21:19.73293, 27.40655
0, McLaughlinCluster, study, 0, 0, study, -6.515564, 2.17226, 64.92335, 20210825, 00:21:19.74690, 27.42052
0, McLaughlinCluster, study, 0, 0, study, -6.726379, 1.890876, 62.50112, 20210825, 00:21:19.76061, 27.43448
0, McLaughlinCluster, study, 0, 0, study, -6.824341, 1.729522, 59.91075, 20210825, 00:21:19.77465, 27.44832
0, McLaughlinCluster, study, 0, 0, study, -6.748108, 1.685338, 57.24279, 20210825, 00:21:19.78858, 27.46222
0, McLaughlinCluster, study, 0, 0, study, -6.432495, 1.650312, 54.31023, 20210825, 00:21:19.80243, 27.4762
0, McLaughlinCluster, study, 0, 0, study, -6.072723, 1.437758, 51.31575, 20210825, 00:21:19.81655, 27.49011
0, McLaughlinCluster, study, 0, 0, study, -5.907013, 1.131447, 48.18934, 20210825, 00:21:19.83053, 27.504
0, McLaughlinCluster, study, 0, 0, study, -5.832397, 0.8489982, 45.08536, 20210825, 00:21:19.84407, 27.51789
0, McLaughlinCluster, study, 0, 0, study, -5.7229, 0.718042, 42.00537, 20210825, 00:21:19.85822, 27.53178
0, McLaughlinCluster, study, 0, 0, study, -5.499878, 0.5813138, 38.90404, 20210825, 00:21:19.87229, 27.54579
0, McLaughlinCluster, study, 0, 0, study, -5.309753, 0.3782137, 35.79868, 20210825, 00:21:19.88581, 27.5597
0, McLaughlinCluster, study, 0, 0, study, -5.238098, 0.05414815, 32.62944, 20210825, 00:21:19.89999, 27.57363
0, McLaughlinCluster, study, 0, 0, study, -5.245667, -0.2232361, 29.48061, 20210825, 00:21:19.91396, 27.58753
0, McLaughlinCluster, study, 0, 0, study, -5.212708, -0.3861389, 26.29661, 20210825, 00:21:19.92793, 27.60146
0, McLaughlinCluster, study, 0, 0, study, -5.025513, -0.4902649, 23.11255, 20210825, 00:21:19.94156, 27.61542
0, McLaughlinCluster, study, 0, 0, study, -4.629242, -0.6282043, 19.92074, 20210825, 00:21:19.95590, 27.62929
0, McLaughlinCluster, study, 0, 0, study, -4.236938, -0.8343201, 16.71927, 20210825, 00:21:19.96948, 27.64316
0, McLaughlinCluster, study, 0, 0, study, -4.030334, -1.145325, 13.50724, 20210825, 00:21:19.98320, 27.65709
0, McLaughlinCluster, study, 0, 0, study, -4.061188, -1.470459, 10.29967, 20210825, 00:21:19.99770, 27.67101
0, McLaughlinCluster, study, 0, 0, study, -4.189728, -1.689148, 7.104974, 20210825, 00:21:20.01145, 27.68505
0, McLaughlinCluster, study, 0, 0, study, -4.234314, -1.783691, 3.928941, 20210825, 00:21:20.02528, 27.69888
0, McLaughlinCluster, study, 0, 0, study, -4.179291, -1.907837, 0.7607472, 20210825, 00:21:20.03933, 27.71299
0, McLaughlinCluster, study, 0, 0, study, -4.083588, -2.102295, -2.364838, 20210825, 00:21:20.05309, 27.72675
0, McLaughlinCluster, study, 0, 0, study, -4.097382, -2.407471, -5.500702, 20210825, 00:21:20.06717, 27.74083
0, McLaughlinCluster, study, 0, 0, study, -4.260132, -2.813538, -8.618652, 20210825, 00:21:20.08088, 27.75461
0, McLaughlinCluster, study, 0, 0, study, -4.454803, -3.106232, -11.74304, 20210825, 00:21:20.09484, 27.76845
0, McLaughlinCluster, study, 0, 0, study, -4.520233, -3.370605, -14.84088, 20210825, 00:21:20.10887, 27.78245
0, McLaughlinCluster, study, 0, 0, study, -4.447357, -3.679047, -17.89377, 20210825, 00:21:20.12251, 27.79635
0, McLaughlinCluster, study, 0, 0, study, -4.175629, -4.107971, -20.89648, 20210825, 00:21:20.13677, 27.81036
0, McLaughlinCluster, study, 0, 0, study, -4.010529, -4.600677, -23.8511, 20210825, 00:21:20.15056, 27.82417
0, McLaughlinCluster, study, 0, 0, study, -4.111481, -5.127411, -26.65344, 20210825, 00:21:20.16445, 27.83831
0, McLaughlinCluster, study, 0, 0, study, -4.160858, -5.461426, -29.37494, 20210825, 00:21:20.17847, 27.85212
0, McLaughlinCluster, study, 0, 0, study, -3.922913, -5.647614, -32.11588, 20210825, 00:21:20.19401, 27.86678
0, McLaughlinCluster, study, 0, 0, study, -3.494904, -5.830688, -34.8783, 20210825, 00:21:20.20666, 27.88021
0, McLaughlinCluster, study, 0, 0, study, -3.154785, -6.09552, -37.63953, 20210825, 00:21:20.22010, 27.89391
0, McLaughlinCluster, study, 0, 0, study, -2.929779, -6.349915, -40.29517, 20210825, 00:21:20.23461, 27.90798
0, McLaughlinCluster, study, 0, 0, study, -2.614105, -6.541351, -42.87717, 20210825, 00:21:20.24823, 27.92182
0, McLaughlinCluster, study, 0, 0, study, -2.225677, -6.768341, -45.4028, 20210825, 00:21:20.26202, 27.93582
0, McLaughlinCluster, study, 0, 0, study, -1.881866, -7.012756, -47.86627, 20210825, 00:21:20.27625, 27.94963
