150, Neutral53Commons, 0, 53Commons, -90, -90, left, 2, closed, closed, 8.999325, 0.3193028, -152.6488, 1.058228, 1045.364
151, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 9.68755, 1.994398, -155.7538, 0.8771973, 1048.552
152, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 8.185068, 0.5871274, -148.0691, 0.668457, 1051.602
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 7.183781, -2.542328, -250.2993, 0.7935791, 1054.804
154, NeutralMaynard, 0, Maynard, -90, -90, left, 2, open, open, 13.49563, -1.768494, -160.2596, 0.8632813, 1058.076
155, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 7.89615, 0.1213034, -249.9067, 0.6826172, 1061.181
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 9.78981, 1.726288, -156.7147, 1.016602, 1064.523
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, open, -8.404724, -1.070435, 337.7954, 1.08667, 1067.809
158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 4.990074, -3.108765, -162.261, 1.141602, 1071.303
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -5.53656, 3.809604, 173.0665, 1.058228, 1074.548
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, 5.189052, 4.418286, -165.3196, 1.044434, 1077.847
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, open, 5.615951, 6.706753, -255.9518, 0.9190674, 1086.327
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -6.261536, 2.908501, 59.21155, 1.503784, 1090.17
163, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -6.661469, 1.230567, 169.3664, 1.503784, 1093.957
164, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -8.618561, -1.406433, 342.8223, 1.058105, 1097.201
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 1.07088, -0.4678345, -124.3101, 2.019043, 1101.573
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -10.04895, 2.026916, 165.2319, 0.6962891, 1104.775
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -10.19995, 1.252687, 62.39894, 0.8355713, 1107.866
168, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, right, 3, open, open, 6.696691, 4.435386, -255.1255, 1.099976, 1111.361
169, 53Commons, 0, 53Commons, -90, -90, right, 3, closed, open, 4.707434, 1.490166, -156.6857, 0.8353271, 1114.396
170, NeutralPineEntrance, 0, PineEntrance, -90, -90, left, 2, open, open, 5.963263, 2.65514, -162.9951, 1.044434, 1117.794
171, NeutralHop4, 0, Hop4, -93, -90, left, 2, open, open, 4.409357, 3.437747, -163.281, 1.127686, 1121.108
172, PineBackHall, 180, PineBackHall, 90, -90, right, 3, open, open, 6.596665, 3.243368, 14.68686, 0.7658691, 1124.213
173, PineEntrance, 0, PineEntrance, -90, -90, right, 3, open, open, 5.333702, 3.513496, -159.4981, 0.7797852, 1127.331
174, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, right, 2, open, open, -7.66684, 4.135071, 148.8101, 0.8912354, 1130.52
175, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 5.205737, 1.03307, 17.74603, 0.7800293, 1133.583
176, RaunerFirst, 0, RaunerFirst, -90, -90, right, 3, closed, closed, 4.737885, 0.7173506, -156.748, 0.8354492, 1136.827
177, MooreLot, 180, MooreLot, 90, -90, right, 3, closed, closed, 6.005461, -0.00127938, 24.41309, 0.7796631, 1139.932
178, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 5.835127, 4.91916, -159.2623, 0.793335, 1143.079
179, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -8.742249, 0.5118014, 49.51332, 1.573486, 1146.964
180, NeutralMooreLot, 0, MooreLot, 90, -90, right, 4, closed, closed, 1.92686, 1.035276, 19.60486, 0.7797852, 1150.11
181, Maynard, 0, Maynard, 90, 90, left, 3, closed, closed, -7.235474, 1.980613, 160.8258, 1.183838, 1153.521
182, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, right, 3, closed, closed, 9.511073, 3.397783, 18.25174, 0.9049072, 1156.738
183, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, right, 3, closed, closed, 6.779351, 6.153054, -71.94205, 0.8632813, 1159.996
184, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 5.841547, 3.098635, -165.2381, 0.6544189, 1162.808
185, Neutral53Commons, 0, 53Commons, 90, 90, left, 4, open, open, -8.807373, 4.188874, 167.5855, 1.085938, 1166.303
186, NeutralUmplebys, 0, Umplebys, 40, 90, left, 4, closed, closed, -5.910797, 2.410856, 120.4679, 0.8634033, 1169.547
187, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 2.8732, 1.813308, 18.07452, 0.8355713, 1172.777
188, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -7.449249, -0.2998352, 69.39432, 0.8215332, 1175.966
189, NeutralPineBackHall, 0, PineBackHall, 90, -90, left, 2, open, open, -2.134308, 13.92864, 45.85974, 1.447998, 1179.767
190, NeutralMaynard, 0, Maynard, 90, 90, left, 4, closed, closed, -4.997955, 0.9494714, 177.2573, 1.322754, 1192.34
191, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, right, 4, closed, closed, 4.953184, 3.305526, -66.70337, 0.9328613, 1195.612
192, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 3.065494, 3.178401, -158.9538, 0.7800293, 1198.62
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 3.042315, 3.065427, -210.2276, 0.8493652, 1201.808
194, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, right, 4, closed, closed, 3.501301, 3.686187, -152.8173, 1.281128, 1205.456
195, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -5.085419, 4.906187, 338.5511, 0.9189453, 1208.714
196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, -4.539337, 1.55548, 148.1263, 0.7380371, 1211.805
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -4.881683, -0.6637878, 161.6938, 0.848877, 1215.021
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -8.930756, 1.094211, 160.8586, 0.8914795, 1218.21
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, closed, -6.721863, -0.4110413, 164.6213, 0.8214111, 1221.273
200, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, left, 4, closed, closed, -7.038879, 1.261071, 336.4513, 1.016602, 1224.712
201, NeutralHop4, 0, Hop4, 87, 90, right, 2, closed, closed, -8.682648, 1.806464, 153.6919, 0.696167, 1227.803
202, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 7.06463, -4.5065, -156.1193, 1.11377, 1231.27
203, NeutralMooreLot, 0, MooreLot, 90, -90, left, 2, closed, closed, 2.74952, 2.462221, 18.96619, 0.8215332, 1234.472
204, Hop2, -1, Hop2, -91, -90, right, 3, closed, closed, 3.808644, 2.912252, -166.1718, 0.8353271, 1237.661
205, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, open, 4.681169, 5.169751, 9.880737, 1.05835, 1240.961
