156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 3.518912, 3.912035, -168.2903, 1.503662, 1514.167
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 3.518912, 3.912035, -168.2903, 1.503662, 1514.167
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -1.323578, 6.038944, -261.2117, 1.5177, 1499.786
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, open, -4.687653, 1.39865, 360.0917, 1.23938, 1518.776
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 3.518912, 3.912035, -168.2903, 1.503662, 1514.167
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, open, -4.687653, 1.39865, 360.0917, 1.23938, 1518.776
158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 7.227076, 1.093916, -158.0487, 1.058105, 1522.326
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 3.518912, 3.912035, -168.2903, 1.503662, 1514.167
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -8.037048, 2.211046, 181.7401, 0.6546631, 1525.417
158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 7.227076, 1.093916, -158.0487, 1.058105, 1522.326
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 3.518912, 3.912035, -168.2903, 1.503662, 1514.167
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -8.037048, 2.211046, 181.7401, 0.6546631, 1525.417
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 3.518912, 3.912035, -168.2903, 1.503662, 1514.167
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, 3.112572, 2.828988, -168.4336, 1.253174, 1529.162
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 3.518912, 3.912035, -168.2903, 1.503662, 1514.167
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, 3.112572, 2.828988, -168.4336, 1.253174, 1529.162
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 3.518912, 3.912035, -168.2903, 1.503662, 1514.167
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, 3.112572, 2.828988, -168.4336, 1.253174, 1529.162
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 3.518912, 3.912035, -168.2903, 1.503662, 1514.167
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, open, 4.507622, 1.015355, -268.3648, 1.740356, 1546.161
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, open, 4.507622, 1.015355, -268.3648, 1.740356, 1546.161
