83, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 12.26643, 15.89199, -119.388, 5.193115, 1185.055
84, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -2.761017, -5.163483, 341.2049, 1.002441, 1190.484
85, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 1.18481, -4.051453, -257.1061, 1.266479, 1194.647
86, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -5.00119, -8.777832, 165.4792, 0.8076172, 1198.114
87, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, right, 4, open, open, 1.24612, -6.20932, 21.5495, 0.9886475, 1201.636
88, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -4.973053, -8.261017, 161.8791, 1.239014, 1205.326
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 2.644608, -8.05957, -156.2432, 0.9606934, 1208.959
90, NeutralAllenSt, 0, AllenSt, 90, 90, right, 2, closed, closed, -5.083496, -10.65576, 159.437, 1.044312, 1212.607
91, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, right, 4, closed, closed, 2.497922, -10.69183, 25.87811, 1.322754, 1216.449
92, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -2.940155, -6.391693, 171.5144, 1.169556, 1220.083
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 2.400685, -7.116577, -156.8975, 1.016235, 1223.647
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 4.682102, -10.09842, -59.48575, 0.8912354, 1227.086
95, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, left, 4, open, closed, -1.144073, 4.033292, 350.2511, 1.810059, 1231.333
96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, 4.786281, -7.056396, -199.9438, 1.169556, 1235.175
97, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, closed, 1.183807, 5.808351, 15.37668, 3.313477, 1241.106
98, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -7.610901, -8.403168, 262.4579, 0.8911133, 1245.297
99, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 3.170178, -11.02521, 19.70343, 1.044312, 1249.042
