0, McLaughlinCluster, study, 0, 0, study, -0.9519653, 12.01388, 39.85352, 20211022, 11:01:07.98855, 25.75974
0, McLaughlinCluster, study, 0, 0, study, -0.4172058, 11.94567, 41.73097, 20211022, 11:01:08.00291, 25.77382
0, McLaughlinCluster, study, 0, 0, study, -0.09136963, 11.89323, 43.51054, 20211022, 11:01:08.01690, 25.78758
0, McLaughlinCluster, study, 0, 0, study, 0.08605289, 11.83669, 45.24954, 20211022, 11:01:08.03090, 25.80154
0, McLaughlinCluster, study, 0, 0, study, 0.1500281, 11.73664, 46.98452, 20211022, 11:01:08.04434, 25.81547
0, McLaughlinCluster, study, 0, 0, study, 0.2322934, 11.54755, 48.68234, 20211022, 11:01:08.05874, 25.8294
0, McLaughlinCluster, study, 0, 0, study, 0.2397164, 11.37074, 50.25323, 20211022, 11:01:08.07283, 25.84337
0, McLaughlinCluster, study, 0, 0, study, 0.03845276, 11.11674, 51.78188, 20211022, 11:01:08.08617, 25.8573
0, McLaughlinCluster, study, 0, 0, study, -0.1020203, 10.80341, 53.42069, 20211022, 11:01:08.10050, 25.87116
0, McLaughlinCluster, study, 0, 0, study, -0.1207886, 10.46679, 54.98072, 20211022, 11:01:08.11455, 25.88516
0, McLaughlinCluster, study, 0, 0, study, -0.1339417, 10.19296, 56.4016, 20211022, 11:01:08.12823, 25.89908
0, McLaughlinCluster, study, 0, 0, study, -0.1930847, 9.952351, 57.72099, 20211022, 11:01:08.14215, 25.91303
0, McLaughlinCluster, study, 0, 0, study, -0.3177185, 9.745399, 59.05774, 20211022, 11:01:08.15598, 25.92687
0, McLaughlinCluster, study, 0, 0, study, -0.2995911, 9.583157, 60.35456, 20211022, 11:01:08.16989, 25.94081
0, McLaughlinCluster, study, 0, 0, study, -0.2048035, 9.472438, 61.55134, 20211022, 11:01:08.18363, 25.95478
0, McLaughlinCluster, study, 0, 0, study, -0.2233582, 9.315595, 62.69823, 20211022, 11:01:08.19780, 25.96867
0, McLaughlinCluster, study, 0, 0, study, -0.3711853, 9.253598, 63.8326, 20211022, 11:01:08.21171, 25.98256
0, McLaughlinCluster, study, 0, 0, study, -0.5542908, 9.196819, 65.021, 20211022, 11:01:08.22540, 25.99651
0, McLaughlinCluster, study, 0, 0, study, -0.653717, 9.165936, 66.2441, 20211022, 11:01:08.23970, 26.01067
0, McLaughlinCluster, study, 0, 0, study, -0.7036743, 9.115954, 67.44608, 20211022, 11:01:08.25355, 26.0244
0, McLaughlinCluster, study, 0, 0, study, -0.7034912, 9.115066, 68.69879, 20211022, 11:01:08.26708, 26.03824
0, McLaughlinCluster, study, 0, 0, study, -0.7139282, 9.282781, 69.93903, 20211022, 11:01:08.28121, 26.05211
0, McLaughlinCluster, study, 0, 0, study, -0.6864624, 9.435842, 71.23121, 20211022, 11:01:08.29529, 26.06618
0, McLaughlinCluster, study, 0, 0, study, -0.6943054, 9.572518, 72.60155, 20211022, 11:01:08.30909, 26.08
0, McLaughlinCluster, study, 0, 0, study, -0.6632996, 9.66393, 73.94038, 20211022, 11:01:08.32271, 26.09389
0, McLaughlinCluster, study, 0, 0, study, -0.4288635, 9.697577, 75.18983, 20211022, 11:01:08.33749, 26.10793
0, McLaughlinCluster, study, 0, 0, study, -0.3034668, 9.641287, 76.28593, 20211022, 11:01:08.35086, 26.12171
0, McLaughlinCluster, study, 0, 0, study, -0.379303, 9.473977, 77.31112, 20211022, 11:01:08.36452, 26.13566
0, McLaughlinCluster, study, 0, 0, study, -0.4959717, 9.217391, 78.27737, 20211022, 11:01:08.37879, 26.14959
0, McLaughlinCluster, study, 0, 0, study, -0.5796509, 8.897757, 79.17954, 20211022, 11:01:08.39281, 26.1636
0, McLaughlinCluster, study, 0, 0, study, -0.5906372, 8.538012, 80.03367, 20211022, 11:01:08.40635, 26.17749
0, McLaughlinCluster, study, 0, 0, study, -0.5976563, 8.115589, 80.82146, 20211022, 11:01:08.42078, 26.19144
0, McLaughlinCluster, study, 0, 0, study, -0.5924988, 7.698465, 81.67579, 20211022, 11:01:08.43472, 26.20534
0, McLaughlinCluster, study, 0, 0, study, -0.471283, 7.269628, 82.54408, 20211022, 11:01:08.44828, 26.21918
0, McLaughlinCluster, study, 0, 0, study, -0.2129822, 6.802299, 83.47356, 20211022, 11:01:08.46231, 26.23318
0, McLaughlinCluster, study, 0, 0, study, 0.05678047, 6.377334, 84.43157, 20211022, 11:01:08.47658, 26.24712
0, McLaughlinCluster, study, 0, 0, study, 0.3265032, 5.981888, 85.40886, 20211022, 11:01:08.49029, 26.26094
0, McLaughlinCluster, study, 0, 0, study, 0.5161185, 5.613356, 86.32519, 20211022, 11:01:08.50382, 26.27493
0, McLaughlinCluster, study, 0, 0, study, 0.5495335, 5.251245, 87.16865, 20211022, 11:01:08.51783, 26.28885
0, McLaughlinCluster, study, 0, 0, study, 0.4340046, 5.004429, 88.03875, 20211022, 11:01:08.53199, 26.3028
0, McLaughlinCluster, study, 0, 0, study, 0.400457, 4.792977, 88.82564, 20211022, 11:01:08.54730, 26.31849
0, McLaughlinCluster, study, 0, 0, study, 0.4588495, 4.57652, 89.57953, 20211022, 11:01:08.55981, 26.33073
0, McLaughlinCluster, study, 0, 0, study, 0.4988624, 4.349477, 90.25595, 20211022, 11:01:08.57374, 26.34473
0, McLaughlinCluster, study, 0, 0, study, 0.3688473, 4.141288, 90.91664, 20211022, 11:01:08.58728, 26.35844
0, McLaughlinCluster, study, 0, 0, study, 0.256256, 3.9016, 91.65597, 20211022, 11:01:08.60147, 26.37232
0, McLaughlinCluster, study, 0, 0, study, 0.3768109, 3.641203, 92.37405, 20211022, 11:01:08.61566, 26.38641
0, McLaughlinCluster, study, 0, 0, study, 0.5607752, 3.452179, 93.0168, 20211022, 11:01:08.62946, 26.40029
0, McLaughlinCluster, study, 0, 0, study, 0.651832, 3.082547, 93.5659, 20211022, 11:01:08.64326, 26.4144
0, McLaughlinCluster, study, 0, 0, study, 0.8779398, 2.440561, 94.0569, 20211022, 11:01:08.65729, 26.42818
0, McLaughlinCluster, study, 0, 0, study, 1.157994, 1.587952, 94.53664, 20211022, 11:01:08.67149, 26.44224
0, McLaughlinCluster, study, 0, 0, study, 1.436376, 0.7185985, 95.00662, 20211022, 11:01:08.68481, 26.45595
0, McLaughlinCluster, study, 0, 0, study, 1.660632, 0.188547, 95.5512, 20211022, 11:01:08.69950, 26.47014
0, McLaughlinCluster, study, 0, 0, study, 1.937225, -0.1390686, 96.06977, 20211022, 11:01:08.71315, 26.48395
0, McLaughlinCluster, study, 0, 0, study, 2.071393, -0.3965149, 96.45537, 20211022, 11:01:08.72686, 26.49797
0, McLaughlinCluster, study, 0, 0, study, 1.890592, -0.672699, 96.86801, 20211022, 11:01:08.74107, 26.51187
0, McLaughlinCluster, study, 0, 0, study, 1.477049, -1.062195, 97.45686, 20211022, 11:01:08.75476, 26.52563
0, McLaughlinCluster, study, 0, 0, study, 1.319985, -1.456757, 98.08559, 20211022, 11:01:08.76852, 26.53959
0, McLaughlinCluster, study, 0, 0, study, 1.402901, -1.773071, 98.60493, 20211022, 11:01:08.78308, 26.55396
0, McLaughlinCluster, study, 0, 0, study, 1.447665, -1.853149, 98.94333, 20211022, 11:01:08.79664, 26.56746
