trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,arrowDirection,condition,correctResponse,response,roll,pitch,yaw,rt,timestamp,familiarityTarget,familiarityPrime,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc,arrowValidity,primeCondition
11,NeutralBakerBerryCharter,0,BakerBerryCharter,0,90,right,2,closed,closed,-5.4487,-0.3825989,97.52667,1.336792,753.0044,yes,na,matisse348,inperson,NaN,NaN,0.866666666666667,0.942675159235669,valid,Neutral
12,McLaughlinCluster,172,McLaughlinCluster,82,-90,left,1,closed,closed,8.188794,2.156943,9.33371,1.656921,757.6685,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
13,RaunerBackHall,0,RaunerBackHall,-90,-90,left,1,closed,closed,11.262,6.232146,-167.5287,1.350525,761.6084,no,no,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
14,PineEntrance,0,PineEntrance,90,90,left,3,closed,closed,-4.508057,3.571066,183.7325,1.30896,765.4512,yes,yes,matisse348,inperson,NaN,NaN,0.952380952380952,0.942675159235669,invalid,Same-scene
15,BakerBerry2nd,94,BakerBerry2nd,4,-90,left,1,closed,closed,11.54621,7.552011,-74.80219,1.420288,769.5441,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
16,PineEntrance,0,PineEntrance,-90,-90,left,1,open,open,7.303514,6.829838,-191.0757,1.52548506817753,774.2637,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
17,McLaughlinCluster,172,McLaughlinCluster,262,90,right,1,open,open,-4.483551,2.243629,359.8967,2.158081,779.2062,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
18,53Commons,0,53Commons,90,90,right,1,open,open,-2.671661,-0.98526,186.7477,1.294922,783.4108,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
19,Hop4,-3,Hop4,-93,-90,right,3,open,open,10.92496,4.418808,-168.37,1.197327,787.3647,yes,yes,matisse348,inperson,NaN,NaN,0.952380952380952,0.942675159235669,invalid,Same-scene
20,MooreLot,180,MooreLot,270,90,right,1,open,open,-1.429108,-3.583588,362.4984,1.294922,791.8199,unsure,unsure,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
22,AllenSt,0,AllenSt,-90,-90,right,3,open,open,7.24308,1.187177,-168.7093,1.73493106818409,800.5491,yes,yes,matisse348,inperson,NaN,NaN,0.952380952380952,0.942675159235669,invalid,Same-scene
23,Hop4,-3,Hop4,87,90,right,1,closed,closed,-3.021545,4.753661,177.7646,1.225708,804.4756,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
24,BakerBerryHistoric2,180,BakerBerryHistoric2,90,-90,left,1,closed,closed,9.213496,6.464945,7.730927,1.099915,808.1368,unsure,unsure,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
26,Umplebys,-50,Umplebys,40,90,right,1,closed,closed,-2.909698,2.797198,133.3022,1.350586,816.4902,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
27,NeutralBakerBerry2nd,0,BakerBerry2nd,184,90,right,2,open,open,-6.734039,4.091265,275.309,1.239319,820.2632,yes,na,matisse348,inperson,NaN,NaN,0.866666666666667,0.942675159235669,valid,Neutral
28,McLaughlinCluster,172,McLaughlinCluster,82,-90,right,3,closed,closed,7.217411,2.303819,15.30267,1.31678506818469,824.3843,yes,yes,matisse348,inperson,NaN,NaN,0.952380952380952,0.942675159235669,invalid,Same-scene
