trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,sameScenePrime,correctResponse,response,roll,pitch,yaw,rt,timestamp,condition,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
105,RaunerBackHall,0,RaunerBackHall,90,90,1,open,open,-9.640289,14.24697,67.98737,1.155701,994.533,1,unsure,unsure,degas754,inperson,1,1,1,0.956521739130435
106,Hop2,0,Hop2,90,-90,2,open,open,4.429594,6.734715,-73.65485,1.169556,997.4427,3,yes,yes,degas754,inperson,1,1,0.931034482758621,0.956521739130435
107,RaunerFirst,0,RaunerFirst,90,90,1,open,open,-8.298859,12.71306,64.62344,1.016541,1019.51,1,yes,yes,degas754,inperson,1,1,1,0.956521739130435
108,PineBackHall,0,PineBackHall,-90,90,2,open,open,-11.10971,14.44321,58.89281,1.239136,1022.155,3,yes,yes,degas754,inperson,1,1,0.931034482758621,0.956521739130435
109,neutral,0,RollinsChapel3,-90,-90,0,open,open,-1.60968,6.700823,-76.01996,1.253113,1024.758,2,na,yes,degas754,inperson,NaN,1,0.911764705882353,0.956521739130435
111,BakerBerryHistoric2,0,BakerBerryHistoric2,90,90,1,open,open,-12.88605,15.1757,64.8835,1.183594,1029.478,1,yes,yes,degas754,inperson,1,1,1,0.956521739130435
112,BakerBerryCharter,0,BakerBerryCharter,90,90,1,closed,closed,-15.74744,8.228044,70.33388,1.23877,1032.36,1,yes,yes,degas754,inperson,0.666666666666667,0.666666666666667,1,0.956521739130435
113,neutral,0,Zimmerman,90,90,0,open,open,-11.35858,8.922255,67.15768,1.294922,1035.033,2,na,no,degas754,inperson,NaN,0.666666666666667,0.911764705882353,0.956521739130435
114,53Commons,0,53Commons,-90,-90,1,closed,closed,1.756899,9.017649,-77.50952,0.8911133,1037.386,1,yes,yes,degas754,inperson,0.666666666666667,0.666666666666667,1,0.956521739130435
115,Zimmerman,0,Zimmerman,-90,90,2,closed,closed,-11.47479,9.036474,62.66405,1.15564,1040.129,3,no,no,degas754,inperson,0.666666666666667,0.666666666666667,0.931034482758621,0.956521739130435
116,Fairbanks,0,Fairbanks,90,-90,2,closed,closed,3.474226,6.109069,-75.62225,0.9605713,1042.802,3,yes,yes,degas754,inperson,1,1,0.931034482758621,0.956521739130435
118,neutral,0,53Commons,90,90,0,open,open,-12.48907,15.82075,62.95078,1.294922,1048.12,2,na,yes,degas754,inperson,NaN,0.666666666666667,0.911764705882353,0.956521739130435
119,Maynard,0,Maynard,-90,-90,1,open,open,3.047254,7.810907,-76.83398,1.308838,1050.807,1,no,no,degas754,inperson,0.666666666666667,0.666666666666667,1,0.956521739130435
121,McLaughlinCluster,0,McLaughlinCluster,-90,90,2,closed,closed,-19.17673,11.25506,63.18655,1.044312,1056.487,3,yes,yes,degas754,inperson,0.666666666666667,0.666666666666667,0.931034482758621,0.956521739130435
122,AllenSt,0,AllenSt,-90,-90,1,open,open,4.990663,10.74321,-79.50723,1.016357,1059.021,1,yes,yes,degas754,inperson,1,1,1,0.956521739130435
123,MooreLot,0,MooreLot,-90,-90,1,closed,closed,3.375401,6.438354,-80.81372,0.9190674,1061.499,1,yes,yes,degas754,inperson,0.666666666666667,0.666666666666667,1,0.956521739130435
125,BakerBerry2nd,0,BakerBerry2nd,90,-90,2,open,open,5.304818,7.908726,-73.1861,1.058105,1066.901,3,yes,yes,degas754,inperson,1,1,0.931034482758621,0.956521739130435
126,Umplebys,0,Umplebys,-90,-90,1,open,open,2.540296,5.422863,-81.77463,1.294922,1069.825,1,yes,yes,degas754,inperson,1,1,1,0.956521739130435
129,neutral,0,Hop2,-90,-90,0,closed,closed,5.105194,8.921824,-80.76764,1.08606,1078.986,2,na,yes,degas754,inperson,NaN,1,0.911764705882353,0.956521739130435
131,neutral,0,Hop4,-90,-90,0,open,open,8.86106,10.95515,-76.37924,1.239258,1084.652,2,na,yes,degas754,inperson,NaN,1,0.911764705882353,0.956521739130435
132,MooreLot,0,MooreLot,-90,-90,1,closed,closed,5.09947,9.019145,-74.81732,1.294922,1087.604,1,yes,yes,degas754,inperson,0.666666666666667,0.666666666666667,1,0.956521739130435
133,Umplebys,0,Umplebys,-90,-90,1,open,open,2.537196,4.676158,-76.84943,1.05835,1090.235,1,yes,yes,degas754,inperson,1,1,1,0.956521739130435
134,neutral,0,RaunerBackHall,-90,-90,0,closed,closed,5.397266,9.035354,-80.54761,1.141724,1093.089,2,na,unsure,degas754,inperson,NaN,1,0.911764705882353,0.956521739130435
135,Hop2,0,Hop2,90,90,1,open,open,-7.929779,9.76269,65.11909,1.545166,1096.068,1,yes,yes,degas754,inperson,1,1,1,0.956521739130435
136,53Commons,0,53Commons,-90,90,2,closed,closed,-8.841827,4.946002,61.83143,1.099976,1099.048,3,yes,yes,degas754,inperson,0.666666666666667,0.666666666666667,0.931034482758621,0.956521739130435
137,BakerBerryCharter,0,BakerBerryCharter,90,-90,2,closed,closed,7.084722,8.517361,-79.00131,1.099854,1102.361,3,yes,yes,degas754,inperson,0.666666666666667,0.666666666666667,0.931034482758621,0.956521739130435
138,RaunerFirst,0,RaunerFirst,90,-90,2,open,open,7.152533,7.503033,-79.2446,1.15564,1105.438,3,yes,yes,degas754,inperson,1,1,0.931034482758621,0.956521739130435
139,BakerBerry2nd,0,BakerBerry2nd,90,90,1,open,open,-12.70978,7.65091,61.1208,1.280762,1108.306,1,yes,yes,degas754,inperson,1,1,1,0.956521739130435
141,neutral,0,Maynard,90,90,0,closed,closed,-12.9017,3.222411,56.08013,1.36438,1113.833,2,na,no,degas754,inperson,NaN,0.666666666666667,0.911764705882353,0.956521739130435
142,BakerBerryCharter,0,BakerBerryCharter,90,90,1,closed,closed,-11.12256,4.99447,58.08369,1.044189,1116.673,1,yes,yes,degas754,inperson,0.666666666666667,0.666666666666667,1,0.956521739130435
143,Zimmerman,0,Zimmerman,-90,-90,1,closed,closed,3.446326,8.774956,-78.95276,1.016479,1119.235,1,no,no,degas754,inperson,0.666666666666667,0.666666666666667,1,0.956521739130435
144,neutral,0,BakerBerryHistoric2,-90,-90,0,closed,closed,4.720546,10.6576,-84.32526,1.016479,1122.089,2,na,yes,degas754,inperson,NaN,1,0.911764705882353,0.956521739130435
2,neutral,0,Hop2,90,90,0,open,open,-4.257263,-6.621277,84.12275,1.239197,729.1162,2,na,yes,degas753,inperson,NaN,0.666666666666667,0.966666666666667,0.956989247311828
3,RaunerFirst,0,RaunerFirst,-90,90,2,closed,closed,-2.746857,-7.831055,77.9427,1.587219,733.1259,3,unsure,unsure,degas753,inperson,0.666666666666667,0.666666666666667,0.9,0.956989247311828
5,Fairbanks,0,Fairbanks,-90,90,2,open,open,-0.2336426,-6.412048,80.85439,2.144104,743.4283,3,yes,yes,degas753,inperson,0.333333333333333,0.333333333333333,0.9,0.956989247311828
7,BakerBerryHistoric2,0,BakerBerryHistoric2,-90,90,2,closed,closed,-1.703156,1.103291,87.25788,1.113953,751.0996,3,no,no,degas753,inperson,0.333333333333333,0.333333333333333,0.9,0.956989247311828
9,PineEntrance,0,PineEntrance,90,90,1,closed,closed,-0.2003174,3.170708,86.05091,1.377991,757.5594,1,yes,yes,degas753,inperson,1,1,0.976744186046512,0.956989247311828
10,neutral,0,BakerBerryCharter,90,90,0,closed,closed,-1.292328,-3.292389,67.7742,1.824036,760.8034,2,na,unsure,degas753,inperson,NaN,0.666666666666667,0.966666666666667,0.956989247311828
12,PineBackHall,0,PineBackHall,90,90,1,closed,closed,-0.6757202,2.430599,89.71446,1.32251,768.2239,1,yes,yes,degas753,inperson,1,1,0.976744186046512,0.956989247311828
15,MooreLot,0,MooreLot,90,90,1,open,open,0.4480523,-4.636597,88.82893,1.517456,777.8303,1,yes,yes,degas753,inperson,0.666666666666667,0.666666666666667,0.976744186046512,0.956989247311828
16,Hop4,0,Hop4,-90,90,2,open,open,-3.929993,-5.302155,78.33696,1.614929,781.0047,3,unsure,unsure,degas753,inperson,1,1,0.9,0.956989247311828
17,RollinsChapel3,0,RollinsChapel3,-90,90,2,open,open,-1.551544,-10.47491,74.94177,1.420105,784.3738,3,yes,yes,degas753,inperson,0.333333333333333,0.333333333333333,0.9,0.956989247311828
18,neutral,0,Hop4,90,90,0,closed,closed,-6.742493,-8.005585,85.90806,1.977112,788.1607,2,na,unsure,degas753,inperson,NaN,1,0.966666666666667,0.956989247311828
20,neutral,0,Umplebys,-90,-90,0,open,open,4.470561,-8.731018,-87.79425,1.517639,795.4004,2,na,yes,degas753,inperson,NaN,0.666666666666667,0.966666666666667,0.956989247311828
21,PineBackHall,0,PineBackHall,90,90,1,closed,closed,-2.473694,-1.890778,89.24192,1.127747,798.1292,1,yes,yes,degas753,inperson,1,1,0.976744186046512,0.956989247311828
25,Zimmerman,0,Zimmerman,90,90,1,open,open,0.09820217,-23.65338,11.29766,2.116211,813.5828,1,no,no,degas753,inperson,0.333333333333333,0.333333333333333,0.976744186046512,0.956989247311828
29,neutral,0,Zimmerman,-90,-90,0,closed,closed,6.249794,-7.927429,-74.6311,1.6026,836.4726,2,na,no,degas753,inperson,NaN,0.333333333333333,0.966666666666667,0.956989247311828
30,RaunerBackHall,0,RaunerBackHall,-90,90,2,closed,closed,-1.930603,-4.758942,71.94644,1.183472,839.2974,3,unsure,unsure,degas753,inperson,0.333333333333333,0.333333333333333,0.9,0.956989247311828
32,53Commons,0,53Commons,90,90,1,open,open,-3.172211,-3.683807,90.43998,1.503723,846.3004,1,yes,yes,degas753,inperson,0.333333333333333,0.333333333333333,0.976744186046512,0.956989247311828
33,neutral,0,Fairbanks,90,90,0,closed,closed,-0.5377808,-9.078827,70.78728,1.865662,849.2935,2,na,yes,degas753,inperson,NaN,0.333333333333333,0.966666666666667,0.956989247311828
34,Hop2,0,Hop2,-90,90,2,closed,closed,-4.017181,-2.217072,85.81312,0.9887695,851.7162,3,yes,yes,degas753,inperson,0.666666666666667,0.666666666666667,0.9,0.956989247311828
35,neutral,0,53Commons,-90,-90,0,closed,closed,4.708481,-12.18188,-81.64386,2.380737,916.0789,2,na,yes,degas753,inperson,NaN,0.333333333333333,0.966666666666667,0.956989247311828
36,MooreLot,0,MooreLot,90,90,1,open,open,-0.4710693,-8.071564,77.00371,2.115967,920.3113,1,yes,yes,degas753,inperson,0.666666666666667,0.666666666666667,0.976744186046512,0.956989247311828
37,AllenSt,0,AllenSt,90,90,1,closed,closed,-0.7353516,-1.568268,89.17538,1.141846,923.3464,1,yes,yes,degas753,inperson,0.666666666666667,0.666666666666667,0.976744186046512,0.956989247311828
39,PineEntrance,0,PineEntrance,90,90,1,closed,closed,-0.01977539,-1.896271,76.00421,1.601135,930.1823,1,yes,yes,degas753,inperson,1,1,0.976744186046512,0.956989247311828
41,Fairbanks,0,Fairbanks,-90,-90,1,open,open,3.433131,-9.526489,-83.02686,2.061279,936.7125,1,yes,yes,degas753,inperson,0.333333333333333,0.333333333333333,0.976744186046512,0.956989247311828
42,neutral,0,PineEntrance,-90,-90,0,open,open,1.855721,-8.748505,-90.73334,1.65686,939.4963,2,na,yes,degas753,inperson,NaN,1,0.966666666666667,0.956989247311828
43,BakerBerry2nd,0,BakerBerry2nd,-90,-90,1,closed,closed,3.33427,-5.123352,-100.2461,1.240112,941.8896,1,yes,yes,degas753,inperson,0.333333333333333,0.333333333333333,0.976744186046512,0.956989247311828
44,53Commons,0,53Commons,90,90,1,open,open,2.090127,-5.757202,76.63579,1.782593,944.8981,1,yes,yes,degas753,inperson,0.333333333333333,0.333333333333333,0.976744186046512,0.956989247311828
45,AllenSt,0,AllenSt,90,-90,2,closed,closed,4.576279,-7.425201,-78.49075,1.016235,946.9863,3,yes,yes,degas753,inperson,0.666666666666667,0.666666666666667,0.9,0.956989247311828
46,neutral,0,BakerBerry2nd,90,90,0,open,open,0.5868545,-10.92725,37.72384,1.809937,949.9797,2,na,yes,degas753,inperson,NaN,0.333333333333333,0.966666666666667,0.956989247311828
